,checking account,duration in month,credit history,credit purpose,credit amount,savings account,employment since..,installment rate,status : sex,other debtors / guarantors,residence since,property,relationship : age,other installment plans,housing,existing credits,job,people to provide maintenance for,telephone,foreign worker,goodness
25,none,6,fully paid,other,4716,1000 <= x, x < 1y,x >= 35,male : married/widowed,none,4y <= x < 7y,unknown / no property,44,none,rent,2 to 3,unskilled - resident,3 or more,no,no,good
26,negative,11,duly paid till now,furniture,4771,unknown/no savings account,4 <= x < 7y,25 <= x < 35,male : married/widowed,none,x >= 7y,car or other,51,none,rent,1,skilled employee/official,0 to 2,no,no,good
27,none,12,none/duly paid,car (used),652,unknown/no savings account,7y <= y,x < 20,female: non-single or male: single,none,x >= 7y,car or other,24,none,for free,1,skilled employee/official,0 to 2,no,no,good
28,negative,9,fully paid,furniture,1154,unknown/no savings account,7y <= y,25 <= x < 35,male : married/widowed,none,x >= 7y,unknown / no property,37,none,rent,4 to 5,unskilled - resident,0 to 2,no,no,good
29,x >= 200,15,none/duly paid,other,3556,1000 <= x,1<= x < 4y,20 <= x < 25,male : married/widowed,none,1y <= x < 4y,real estate,29,none,rent,1,skilled employee/official,0 to 2,no,no,good
30,0 <= x <= 200,42,fully paid,car (new),4796,unknown/no savings account,7y <= y,x < 20,male : married/widowed,none,x >= 7y,real estate,56,none,own,1,skilled employee/official,0 to 2,no,no,good
31,0 <= x <= 200,30,fully paid,furniture,3017,unknown/no savings account,7y <= y,x < 20,male : married/widowed,none,x >= 7y,car or other,47,none,rent,1,skilled employee/official,0 to 2,no,no,good
32,x >= 200,36,fully paid,other,3535,unknown/no savings account,4 <= x < 7y,x < 20,male : married/widowed,none,x >= 7y,building soc. savings agr./life insurance,37,none,rent,2 to 3,skilled employee/official,0 to 2,yes,no,good
33,x >= 200,36,fully paid,other,6614,unknown/no savings account,7y <= y,x < 20,male : married/widowed,none,x >= 7y,building soc. savings agr./life insurance,34,none,rent,2 to 3,manager/self-empl./highly qualif,0 to 2,yes,no,good
34,x >= 200,24,none/duly paid,furniture,1376,100 <= x < 500,4 <= x < 7y,x < 20,female: non-single or male: single,none, x < 1y,building soc. savings agr./life insurance,28,none,rent,1,skilled employee/official,0 to 2,no,no,good
35,none,15,none/duly paid,other,1721,unknown/no savings account, x < 1y,25 <= x < 35,male : married/widowed,none,4y <= x < 7y,unknown / no property,36,none,rent,1,skilled employee/official,0 to 2,no,no,good
36,none,6,fully paid,other,860,unknown/no savings account,7y <= y,x >= 35,female: non-single or male: single,none,x >= 7y,real estate,39,none,rent,2 to 3,skilled employee/official,0 to 2,yes,no,good
37,x >= 200,12,fully paid,other,1495,unknown/no savings account,7y <= y,x < 20,male : married/widowed,none, x < 1y,unknown / no property,38,none,rent,2 to 3,unskilled - resident,3 or more,no,no,good
38,x >= 200,12,fully paid,furniture,1934,unknown/no savings account,7y <= y,25 <= x < 35,male : married/widowed,none,1y <= x < 4y,real estate,26,none,rent,2 to 3,skilled employee/official,0 to 2,no,no,good
39,x >= 200,18,none/duly paid,car (new),3378,1000 <= x,1<= x < 4y,25 <= x < 35,male : married/widowed,none, x < 1y,car or other,31,none,rent,1,skilled employee/official,0 to 2,yes,no,good
40,x >= 200,24,fully paid,car (new),3868,unknown/no savings account,7y <= y,x < 20,female: non-single or male: single,none,1y <= x < 4y,building soc. savings agr./life insurance,41,none,for free,2 to 3,manager/self-empl./highly qualif,0 to 2,yes,no,good
41,x >= 200,12,fully paid,domestic appliances,996,1000 <= x,4 <= x < 7y,x < 20,female: non-single or male: single,none,x >= 7y,unknown / no property,23,none,rent,2 to 3,skilled employee/official,0 to 2,no,no,good
42,none,24,none/duly paid,business,1755,unknown/no savings account,7y <= y,x < 20,female: non-single or male: single,guarantor,x >= 7y,unknown / no property,58,none,rent,1,unskilled - resident,0 to 2,yes,no,good
43,x >= 200,18,fully paid,other,1028,unknown/no savings account,1<= x < 4y,x < 20,female: non-single or male: single,none,4y <= x < 7y,unknown / no property,36,none,rent,2 to 3,skilled employee/official,0 to 2,no,no,good
44,negative,24,fully paid,retraining,2825,1000 <= x,4 <= x < 7y,x < 20,male : married/widowed,none,4y <= x < 7y,real estate,34,none,rent,2 to 3,skilled employee/official,3 or more,yes,no,good
45,negative,18,none/duly paid,repairs,1239,1000 <= x,1<= x < 4y,x < 20,male : married/widowed,none,x >= 7y,real estate,61,none,own,1,skilled employee/official,0 to 2,no,no,good
46,none,18,none/duly paid,other,1216,unknown/no savings account, x < 1y,x < 20,female: non-single or male: single,none,4y <= x < 7y,building soc. savings agr./life insurance,23,none,for free,1,skilled employee/official,0 to 2,yes,no,bad
47,x >= 200,24,none/duly paid,retraining,1258,unknown/no savings account,4 <= x < 7y,x < 20,male : married/widowed,none, x < 1y,unknown / no property,25,none,rent,1,skilled employee/official,0 to 2,yes,no,good
48,x >= 200,18,fully paid,repairs,1864,x < 100 DM,1<= x < 4y,x < 20,female: non-single or male: single,none,1y <= x < 4y,unknown / no property,30,none,rent,2 to 3,skilled employee/official,0 to 2,no,no,bad
49,x >= 200,24,none/duly paid,other,1474,x < 100 DM, x < 1y,x < 20,female : single,none,4y <= x < 7y,unknown / no property,33,none,rent,1,skilled employee/official,0 to 2,yes,no,good
50,none,24,fully paid,retraining,1382,x < 100 DM,4 <= x < 7y,x < 20,male : married/widowed,none, x < 1y,unknown / no property,26,none,rent,2 to 3,skilled employee/official,0 to 2,yes,no,good
51,x >= 200,12,none/duly paid,other,640,unknown/no savings account,1<= x < 4y,x < 20,male : divorced/separated,none,1y <= x < 4y,unknown / no property,49,none,rent,1,unskilled - resident,0 to 2,no,no,good
52,0 <= x <= 200,36,none/duly paid,furniture,3919,unknown/no savings account,1<= x < 4y,25 <= x < 35,male : married/widowed,none,1y <= x < 4y,unknown / no property,23,none,rent,1,skilled employee/official,0 to 2,yes,no,good
53,x >= 200,9,fully paid,other,1224,unknown/no savings account,1<= x < 4y,20 <= x < 25,male : married/widowed,none, x < 1y,unknown / no property,30,none,rent,2 to 3,skilled employee/official,0 to 2,no,no,good
54,x >= 200,12,fully paid,furniture,2331,1000 <= x,7y <= y,x >= 35,male : married/widowed,co-applicant,x >= 7y,unknown / no property,49,none,rent,1,skilled employee/official,0 to 2,yes,no,good
55,x >= 200,24,none/duly paid,car (new),6313,1000 <= x,7y <= y,20 <= x < 25,male : married/widowed,none,x >= 7y,building soc. savings agr./life insurance,41,none,rent,1,manager/self-empl./highly qualif,3 or more,yes,no,good
56,none,12,fully paid,furniture,385,unknown/no savings account,4 <= x < 7y,x < 20,female: non-single or male: single,none,4y <= x < 7y,unknown / no property,58,none,rent, x >= 6,unskilled - resident,0 to 2,yes,no,good
57,x >= 200,12,fully paid,furniture,1655,unknown/no savings account,7y <= y,25 <= x < 35,male : married/widowed,none,x >= 7y,unknown / no property,63,none,rent,2 to 3,unskilled - resident,0 to 2,yes,no,good
58,none,15,none/duly paid,furniture,1053,unknown/no savings account, x < 1y,x < 20,female : single,none,1y <= x < 4y,unknown / no property,27,none,rent,1,skilled employee/official,0 to 2,no,yes,good
59,x >= 200,21,none/duly paid,furniture,3160,1000 <= x,7y <= y,x < 20,male : married/widowed,none,4y <= x < 7y,car or other,41,none,rent,1,skilled employee/official,0 to 2,yes,no,good
60,x >= 200,36,none/duly paid,other,3079,1000 <= x,1<= x < 4y,x < 20,male : married/widowed,none,x >= 7y,unknown / no property,36,none,rent,1,skilled employee/official,0 to 2,no,no,good
61,x >= 200,12,fully paid,other,1163,100 <= x < 500,1<= x < 4y,x < 20,male : married/widowed,none,x >= 7y,unknown / no property,44,none,rent,1,skilled employee/official,0 to 2,yes,no,good
62,x >= 200,24,none/duly paid,car (new),2679,unknown/no savings account, x < 1y,x < 20,female: non-single or male: single,none, x < 1y,real estate,29,none,rent,1,manager/self-empl./highly qualif,0 to 2,yes,no,good
63,x >= 200,48,fully paid,furniture,3578,1000 <= x,7y <= y,x < 20,male : married/widowed,none, x < 1y,unknown / no property,47,none,rent,1,skilled employee/official,0 to 2,yes,no,good
64,x >= 200,36,duly paid till now,other,10875,unknown/no savings account,7y <= y,25 <= x < 35,male : married/widowed,none,1y <= x < 4y,building soc. savings agr./life insurance,45,none,rent,2 to 3,skilled employee/official,3 or more,yes,no,good
65,none,12,duly paid till now,other,1344,unknown/no savings account,1<= x < 4y,x < 20,male : married/widowed,none,1y <= x < 4y,unknown / no property,43,none,rent,2 to 3,unskilled - resident,3 or more,no,no,good
66,x >= 200,6,fully paid,furniture,1237,x < 100 DM,1<= x < 4y,x >= 35,female: non-single or male: single,none, x < 1y,car or other,27,none,rent,2 to 3,skilled employee/official,0 to 2,no,no,good
67,x >= 200,12,none/duly paid,furniture,3077,unknown/no savings account,1<= x < 4y,25 <= x < 35,male : married/widowed,none,x >= 7y,building soc. savings agr./life insurance,52,none,rent,1,skilled employee/official,0 to 2,yes,no,good
68,x >= 200,24,none/duly paid,furniture,2284,unknown/no savings account,4 <= x < 7y,x < 20,male : married/widowed,none,1y <= x < 4y,building soc. savings agr./life insurance,28,none,rent,1,skilled employee/official,0 to 2,yes,no,good
69,negative,12,none/duly paid,furniture,1567,unknown/no savings account,1<= x < 4y,x >= 35,female: non-single or male: single,none, x < 1y,building soc. savings agr./life insurance,22,none,rent,1,skilled employee/official,0 to 2,yes,no,good
70,x >= 200,24,duly paid till now,other,2032,unknown/no savings account,7y <= y,x < 20,male : married/widowed,none,x >= 7y,real estate,60,none,own,2 to 3,skilled employee/official,0 to 2,yes,no,good
71,negative,21,fully paid,car (used),2745,500 <= x < 1000,4 <= x < 7y,20 <= x < 25,male : married/widowed,none,1y <= x < 4y,building soc. savings agr./life insurance,32,none,rent,2 to 3,skilled employee/official,0 to 2,yes,no,good
72,x >= 200,30,none/duly paid,furniture,1867,1000 <= x,7y <= y,x < 20,male : married/widowed,none,x >= 7y,building soc. savings agr./life insurance,58,none,rent,1,skilled employee/official,0 to 2,yes,no,good
73,x >= 200,36,none/duly paid,furniture,2299,100 <= x < 500,7y <= y,x < 20,male : married/widowed,none,x >= 7y,building soc. savings agr./life insurance,39,none,rent,1,skilled employee/official,0 to 2,no,no,good
74,x >= 200,24,none/duly paid,car (used),929,1000 <= x,4 <= x < 7y,x < 20,male : married/widowed,none,1y <= x < 4y,building soc. savings agr./life insurance,31,stores,rent,1,skilled employee/official,0 to 2,yes,no,good
75,0 <= x <= 200,12,none/duly paid,furniture,3399,1000 <= x,7y <= y,25 <= x < 35,male : married/widowed,none,4y <= x < 7y,building soc. savings agr./life insurance,37,none,rent,1,manager/self-empl./highly qualif,0 to 2,no,no,good
76,negative,9,none/duly paid,car (used),2030,1000 <= x,4 <= x < 7y,25 <= x < 35,male : married/widowed,none, x < 1y,building soc. savings agr./life insurance,24,none,rent,1,skilled employee/official,0 to 2,yes,no,good
77,x >= 200,21,fully paid,car (new),3275,unknown/no savings account,7y <= y,x >= 35,male : married/widowed,none,x >= 7y,building soc. savings agr./life insurance,36,none,rent,1,manager/self-empl./highly qualif,0 to 2,yes,no,good
78,x >= 200,24,fully paid,other,1940,500 <= x < 1000,7y <= y,x < 20,male : married/widowed,none,x >= 7y,unknown / no property,60,none,rent,1,skilled employee/official,0 to 2,yes,no,good
79,none,21,fully paid,other,1602,unknown/no savings account,7y <= y,x < 20,female : single,none,4y <= x < 7y,building soc. savings agr./life insurance,30,none,rent,2 to 3,skilled employee/official,0 to 2,yes,no,good
80,x >= 200,15,none/duly paid,furniture,1979,1000 <= x,7y <= y,x < 20,male : married/widowed,none,1y <= x < 4y,building soc. savings agr./life insurance,35,none,rent,1,skilled employee/official,0 to 2,no,no,good
81,x >= 200,24,fully paid,other,2022,unknown/no savings account,1<= x < 4y,x < 20,female: non-single or male: single,none,x >= 7y,building soc. savings agr./life insurance,37,none,rent,1,skilled employee/official,0 to 2,yes,no,good
82,x >= 200,36,fully paid,furniture,3342,1000 <= x,7y <= y,x < 20,male : married/widowed,none,1y <= x < 4y,building soc. savings agr./life insurance,51,none,rent,1,skilled employee/official,0 to 2,yes,no,good
83,negative,18,none/duly paid,other,5866,x < 100 DM,1<= x < 4y,25 <= x < 35,male : married/widowed,none,1y <= x < 4y,building soc. savings agr./life insurance,30,none,rent,2 to 3,skilled employee/official,0 to 2,yes,no,good
84,0 <= x <= 200,15,fully paid,car (new),2360,100 <= x < 500,1<= x < 4y,25 <= x < 35,male : married/widowed,none,1y <= x < 4y,building soc. savings agr./life insurance,36,none,rent,1,skilled employee/official,0 to 2,yes,no,good
85,x >= 200,15,fully paid,car (used),1520,1000 <= x,7y <= y,x < 20,male : married/widowed,none,x >= 7y,car or other,63,none,rent,1,skilled employee/official,0 to 2,no,no,good
86,none,12,none/duly paid,other,3651,500 <= x < 1000,1<= x < 4y,x >= 35,male : married/widowed,none,4y <= x < 7y,car or other,31,none,rent,1,skilled employee/official,3 or more,no,no,good
87,x >= 200,24,fully paid,car (new),2346,unknown/no savings account,4 <= x < 7y,x < 20,male : married/widowed,none,4y <= x < 7y,building soc. savings agr./life insurance,35,none,rent,2 to 3,skilled employee/official,0 to 2,yes,no,good
88,x >= 200,36,duly paid till now,furniture,4454,unknown/no savings account,1<= x < 4y,x < 20,female: non-single or male: single,none,x >= 7y,unknown / no property,34,none,rent,2 to 3,skilled employee/official,0 to 2,no,no,good
89,none,6,fully paid,other,666,500 <= x < 1000,4 <= x < 7y,20 <= x < 25,female: non-single or male: single,none,x >= 7y,unknown / no property,39,none,rent,2 to 3,unskilled - resident,0 to 2,yes,no,good
90,negative,24,duly paid till now,other,1965,1000 <= x,1<= x < 4y,x < 20,female: non-single or male: single,none,x >= 7y,building soc. savings agr./life insurance,42,none,for free,2 to 3,skilled employee/official,0 to 2,yes,no,good
91,negative,12,fully paid,other,1995,x < 100 DM, x < 1y,x < 20,male : married/widowed,none, x < 1y,building soc. savings agr./life insurance,27,none,rent,1,skilled employee/official,0 to 2,no,no,good
92,negative,30,none/duly paid,furniture,2991,1000 <= x,7y <= y,25 <= x < 35,female: non-single or male: single,none,x >= 7y,building soc. savings agr./life insurance,25,none,rent,1,skilled employee/official,0 to 2,no,no,good
93,negative,30,delayed,retraining,4221,unknown/no savings account,1<= x < 4y,25 <= x < 35,female: non-single or male: single,none, x < 1y,building soc. savings agr./life insurance,28,none,rent,2 to 3,skilled employee/official,0 to 2,no,no,good
94,none,9,none/duly paid,furniture,1364,unknown/no savings account,4 <= x < 7y,20 <= x < 25,male : married/widowed,none,x >= 7y,unknown / no property,59,none,rent,1,skilled employee/official,0 to 2,no,no,good
95,negative,18,fully paid,car (used),6361,unknown/no savings account,7y <= y,25 <= x < 35,male : married/widowed,none, x < 1y,real estate,41,none,rent,1,skilled employee/official,0 to 2,yes,no,good
96,x >= 200,27,fully paid,car (used),4526,500 <= x < 1000, x < 1y,x < 20,male : married/widowed,none,1y <= x < 4y,unknown / no property,32,stores,rent,2 to 3,unskilled - resident,3 or more,yes,no,good
97,negative,12,fully paid,furniture,3573,unknown/no savings account,1<= x < 4y,x >= 35,female: non-single or male: single,none, x < 1y,unknown / no property,23,none,rent,1,unskilled - resident,0 to 2,no,no,good
98,negative,36,duly paid till now,retraining,4455,unknown/no savings account,1<= x < 4y,25 <= x < 35,male : divorced/separated,none,1y <= x < 4y,unknown / no property,30,stores,rent,2 to 3,manager/self-empl./highly qualif,0 to 2,yes,no,bad
99,none,9,none/duly paid,car (used),2136,unknown/no savings account,1<= x < 4y,20 <= x < 25,male : married/widowed,none,1y <= x < 4y,unknown / no property,25,none,rent,1,skilled employee/official,0 to 2,no,no,good
100,negative,42,fully paid,retraining,5954,unknown/no savings account,4 <= x < 7y,25 <= x < 35,female: non-single or male: single,none, x < 1y,unknown / no property,41,bank,rent,2 to 3,unskilled - resident,0 to 2,no,no,good
101,x >= 200,24,fully paid,car (used),3777,500 <= x < 1000,1<= x < 4y,x < 20,male : married/widowed,none,x >= 7y,unknown / no property,40,none,rent,1,skilled employee/official,0 to 2,yes,no,good
102,none,15,none/duly paid,retraining,806,unknown/no savings account,1<= x < 4y,x < 20,female: non-single or male: single,none,x >= 7y,car or other,22,none,rent,1,unskilled - resident,0 to 2,no,no,good
103,negative,24,duly paid till now,retraining,4712,1000 <= x,1<= x < 4y,x < 20,male : married/widowed,none,1y <= x < 4y,car or other,34,bank,rent,2 to 3,manager/self-empl./highly qualif,0 to 2,yes,no,good
104,negative,36,duly paid till now,other,7432,unknown/no savings account,1<= x < 4y,25 <= x < 35,female: non-single or male: single,none,1y <= x < 4y,car or other,54,none,for free,1,skilled employee/official,0 to 2,no,no,good
105,x >= 200,24,fully paid,furniture,1851,unknown/no savings account,4 <= x < 7y,x < 20,female : single,guarantor,1y <= x < 4y,building soc. savings agr./life insurance,33,none,rent,2 to 3,skilled employee/official,0 to 2,yes,no,good
106,x >= 200,24,none/duly paid,other,1393,unknown/no savings account,1<= x < 4y,25 <= x < 35,male : married/widowed,guarantor,1y <= x < 4y,unknown / no property,31,none,rent,1,skilled employee/official,0 to 2,yes,no,good
107,x >= 200,12,fully paid,retraining,1412,unknown/no savings account,1<= x < 4y,x < 20,female: non-single or male: single,guarantor,1y <= x < 4y,unknown / no property,29,none,rent,2 to 3,manager/self-empl./highly qualif,0 to 2,yes,no,good
108,x >= 200,18,none/duly paid,furniture,1473,unknown/no savings account, x < 1y,20 <= x < 25,female : single,none,x >= 7y,unknown / no property,39,none,rent,1,skilled employee/official,0 to 2,yes,no,good
109,x >= 200,24,none/duly paid,furniture,1533,unknown/no savings account, x < 1y,x < 20,female: non-single or male: single,none,4y <= x < 7y,building soc. savings agr./life insurance,38,stores,rent,1,skilled employee/official,0 to 2,yes,no,good
110,x >= 200,12,fully paid,repairs,2012,1000 <= x,4 <= x < 7y,x < 20,female: non-single or male: single,none,1y <= x < 4y,building soc. savings agr./life insurance,61,none,rent,1,skilled employee/official,0 to 2,no,no,good
111,none,15,none/duly paid,other,3959,unknown/no savings account,1<= x < 4y,20 <= x < 25,female: non-single or male: single,none,1y <= x < 4y,car or other,29,none,rent,1,skilled employee/official,0 to 2,yes,no,bad
112,none,6,none/duly paid,car (used),428,unknown/no savings account,7y <= y,25 <= x < 35,female: non-single or male: single,none, x < 1y,car or other,49,bank,rent,1,skilled employee/official,0 to 2,yes,no,good
113,negative,12,fully paid,other,2366,100 <= x < 500,4 <= x < 7y,20 <= x < 25,male : divorced/separated,none,4y <= x < 7y,building soc. savings agr./life insurance,36,none,rent,1,manager/self-empl./highly qualif,0 to 2,yes,no,good
114,x >= 200,12,none/duly paid,car (used),763,unknown/no savings account,1<= x < 4y,x < 20,female: non-single or male: single,none, x < 1y,unknown / no property,26,none,rent,1,skilled employee/official,0 to 2,yes,no,good
115,negative,21,none/duly paid,car (used),3976,1000 <= x,4 <= x < 7y,25 <= x < 35,male : married/widowed,none,4y <= x < 7y,building soc. savings agr./life insurance,35,none,rent,1,skilled employee/official,0 to 2,yes,no,good
116,negative,18,none/duly paid,other,6260,unknown/no savings account,4 <= x < 7y,20 <= x < 25,male : married/widowed,none,4y <= x < 7y,unknown / no property,28,none,for free,1,unskilled - resident,0 to 2,no,no,good
117,negative,9,fully paid,car (used),1919,unknown/no savings account,4 <= x < 7y,x < 20,male : married/widowed,none,4y <= x < 7y,building soc. savings agr./life insurance,35,none,for free,1,skilled employee/official,0 to 2,yes,no,good
118,x >= 200,24,none/duly paid,car (new),2603,500 <= x < 1000,1<= x < 4y,25 <= x < 35,female: non-single or male: single,none,x >= 7y,building soc. savings agr./life insurance,28,none,for free,1,skilled employee/official,0 to 2,yes,no,good
119,x >= 200,9,fully paid,repairs,936,100 <= x < 500,7y <= y,x < 20,male : married/widowed,none,1y <= x < 4y,building soc. savings agr./life insurance,52,none,rent,2 to 3,skilled employee/official,0 to 2,yes,no,good
120,x >= 200,24,none/duly paid,car (used),3062,100 <= x < 500,7y <= y,x < 20,male : married/widowed,none,4y <= x < 7y,real estate,32,none,for free,1,skilled employee/official,0 to 2,yes,no,good
121,negative,36,none/duly paid,furniture,4795,unknown/no savings account, x < 1y,x < 20,female: non-single or male: single,none, x < 1y,real estate,30,none,rent,1,manager/self-empl./highly qualif,0 to 2,yes,no,good
122,x >= 200,36,fully paid,car (new),5842,unknown/no savings account,7y <= y,25 <= x < 35,male : married/widowed,none,1y <= x < 4y,car or other,35,none,rent,2 to 3,skilled employee/official,3 or more,yes,no,good
123,negative,6,none/duly paid,furniture,2063,unknown/no savings account, x < 1y,x < 20,female : single,none,4y <= x < 7y,building soc. savings agr./life insurance,30,none,for free,1,manager/self-empl./highly qualif,0 to 2,yes,no,good
124,x >= 200,15,fully paid,furniture,1459,unknown/no savings account,1<= x < 4y,x < 20,female: non-single or male: single,none,1y <= x < 4y,building soc. savings agr./life insurance,43,none,rent,1,unskilled - resident,0 to 2,no,no,good
125,x >= 200,15,none/duly paid,furniture,1213,100 <= x < 500,7y <= y,x < 20,male : married/widowed,none,4y <= x < 7y,car or other,47,stores,rent,1,skilled employee/official,0 to 2,yes,no,good
126,x >= 200,24,fully paid,furniture,5103,unknown/no savings account, x < 1y,20 <= x < 25,female : single,none,4y <= x < 7y,real estate,47,none,own,4 to 5,skilled employee/official,0 to 2,yes,no,good
127,x >= 200,15,none/duly paid,radio/television,874,1000 <= x, x < 1y,x < 20,female: non-single or male: single,none, x < 1y,unknown / no property,24,none,rent,1,skilled employee/official,0 to 2,no,no,good
128,x >= 200,6,none/duly paid,car (used),2978,100 <= x < 500,1<= x < 4y,x >= 35,male : married/widowed,none,1y <= x < 4y,building soc. savings agr./life insurance,32,none,rent,1,skilled employee/official,0 to 2,yes,no,good
129,x >= 200,18,none/duly paid,other,1820,unknown/no savings account,1<= x < 4y,25 <= x < 35,female : single,none,1y <= x < 4y,car or other,30,none,rent,1,manager/self-empl./highly qualif,0 to 2,yes,no,good
130,x >= 200,24,fully paid,furniture,2872,x < 100 DM,7y <= y,20 <= x < 25,male : married/widowed,none,x >= 7y,unknown / no property,36,none,rent,1,skilled employee/official,3 or more,yes,no,good
131,0 <= x <= 200,24,none/duly paid,car (used),1925,unknown/no savings account,1<= x < 4y,25 <= x < 35,male : married/widowed,none,1y <= x < 4y,unknown / no property,26,none,rent,1,skilled employee/official,0 to 2,no,no,good
132,x >= 200,18,none/duly paid,car (used),2515,unknown/no savings account,1<= x < 4y,20 <= x < 25,male : married/widowed,none,x >= 7y,unknown / no property,43,none,rent,1,skilled employee/official,0 to 2,yes,no,good
133,0 <= x <= 200,6,none/duly paid,car (used),2116,unknown/no savings account,1<= x < 4y,25 <= x < 35,male : married/widowed,none,1y <= x < 4y,unknown / no property,41,none,rent,1,skilled employee/official,0 to 2,yes,no,good
134,x >= 200,18,none/duly paid,furniture,1453,unknown/no savings account, x < 1y,20 <= x < 25,female: non-single or male: single,none, x < 1y,unknown / no property,26,none,rent,1,skilled employee/official,0 to 2,no,no,good
