,checking_account,duration_in_month,credit_history,purpose,credit_amount,savings_account,employment_since,installment_rate,status_and_sex,co-applicants_guarantors,residence_since,property,age,other_installment_plans,housing,existing_credits,job,people_to_provide_maintenance_for,telephone,foreign_worker,customer_goodness
30,0_to_200,18,existing_duly_paid,business,1913,over_1000,up_to_1y,3,male_married,none,3,real_estate,36,bank,own,1,employed,1,yes,yes,yes
31,negative,24,existing_duly_paid,furniture,4020,up_to_100,1_to_4y,2,male_single,none,2,car_other,27,stores,own,1,employed,1,no,yes,yes
32,0_to_200,18,existing_duly_paid,car_new,5866,100_to_500,1_to_4y,2,male_single,none,2,car_other,30,none,own,2,employed,1,yes,yes,yes
33,none,12,critical_account,business,1264,unknown,over_7y,4,male_single,none,4,none_unknown,57,none,rent,1,unskilled_resident,1,no,yes,yes
34,over_200,12,existing_duly_paid,furniture,1474,up_to_100,up_to_1y,4,female_married_separated,none,1,building_society_savings_agreement_or_life_insurance,33,bank,own,1,highly_qualified_or_self-employed,1,yes,yes,yes
35,0_to_200,45,critical_account,radio_tv,4746,up_to_100,up_to_1y,4,male_single,none,2,building_society_savings_agreement_or_life_insurance,25,none,own,2,unskilled_resident,1,no,yes,no
36,none,48,critical_account,education,6110,up_to_100,1_to_4y,1,male_single,none,3,none_unknown,31,bank,free,1,employed,1,yes,yes,yes
37,over_200,18,existing_duly_paid,radio_tv,2100,up_to_100,1_to_4y,4,male_single,co-applicant,2,real_estate,37,stores,own,1,employed,1,no,yes,no
38,over_200,10,existing_duly_paid,appliances,1225,up_to_100,1_to_4y,2,male_single,none,2,car_other,37,none,own,1,employed,1,yes,yes,yes
39,0_to_200,9,existing_duly_paid,radio_tv,458,up_to_100,1_to_4y,4,male_single,none,3,real_estate,24,none,own,1,employed,1,no,yes,yes
40,none,30,existing_duly_paid,radio_tv,2333,500_to_1000,over_7y,4,male_single,none,2,car_other,30,bank,own,1,highly_qualified_or_self-employed,1,no,yes,yes
41,0_to_200,12,existing_duly_paid,radio_tv,1158,500_to_1000,1_to_4y,3,male_separated,none,1,car_other,26,none,own,1,employed,1,yes,yes,yes
42,0_to_200,18,delayed,repairs,6204,up_to_100,1_to_4y,2,male_single,none,4,real_estate,44,none,own,1,unskilled_resident,2,yes,yes,yes
43,negative,30,critical_account,car:used,6187,100_to_500,4_to_7y,1,male_married,none,4,car_other,24,none,rent,2,employed,1,no,yes,yes
44,negative,48,critical_account,car:used,6143,up_to_100,over_7y,4,female_married_separated,none,4,none_unknown,58,stores,free,2,unskilled_resident,1,no,yes,no
45,none,11,critical_account,car_new,1393,up_to_100,up_to_1y,4,female_married_separated,none,4,car_other,35,none,own,2,highly_qualified_or_self-employed,1,no,yes,yes
46,none,36,existing_duly_paid,radio_tv,2299,500_to_1000,over_7y,4,male_single,none,4,car_other,39,none,own,1,employed,1,no,yes,yes
47,negative,6,existing_duly_paid,car:used,1352,500_to_1000,unemployed,1,female_married_separated,none,2,building_society_savings_agreement_or_life_insurance,23,none,rent,1,unemployed_non-resident,1,yes,yes,yes
48,none,11,critical_account,car_new,7228,up_to_100,1_to_4y,1,male_single,none,4,building_society_savings_agreement_or_life_insurance,39,none,own,2,unskilled_resident,1,no,yes,yes
49,none,12,existing_duly_paid,radio_tv,2073,100_to_500,1_to_4y,4,female_married_separated,co-applicant,2,real_estate,28,none,own,1,employed,1,no,yes,yes
50,0_to_200,24,delayed,furniture,2333,unknown,up_to_1y,4,male_single,none,2,building_society_savings_agreement_or_life_insurance,29,bank,own,1,unskilled_resident,1,no,yes,yes
51,0_to_200,27,delayed,car:used,5965,up_to_100,over_7y,1,male_single,none,2,car_other,30,none,own,2,highly_qualified_or_self-employed,1,yes,yes,yes
52,none,12,existing_duly_paid,radio_tv,1262,up_to_100,1_to_4y,3,male_single,none,2,car_other,25,none,own,1,employed,1,no,yes,yes
53,none,18,existing_duly_paid,car:used,3378,unknown,1_to_4y,2,male_single,none,1,building_society_savings_agreement_or_life_insurance,31,none,own,1,employed,1,yes,yes,yes
54,0_to_200,36,delayed,car_new,2225,up_to_100,over_7y,4,male_single,none,4,none_unknown,57,bank,free,2,employed,1,yes,yes,no
55,none,6,duly_paid,car_new,783,unknown,1_to_4y,1,male_single,guarantor,2,real_estate,26,stores,own,1,unskilled_resident,2,no,yes,yes
56,0_to_200,12,existing_duly_paid,radio_tv,6468,unknown,unemployed,2,male_single,none,1,none_unknown,52,none,own,1,highly_qualified_or_self-employed,1,yes,yes,no
57,none,36,critical_account,radio_tv,9566,up_to_100,1_to_4y,2,female_married_separated,none,2,car_other,31,stores,own,2,employed,1,no,yes,yes
58,over_200,18,existing_duly_paid,car_new,1961,up_to_100,over_7y,3,female_married_separated,none,2,car_other,23,none,own,1,highly_qualified_or_self-employed,1,no,yes,yes
59,negative,36,critical_account,furniture,6229,up_to_100,up_to_1y,4,female_married_separated,co-applicant,4,none_unknown,23,none,rent,2,unskilled_resident,1,yes,yes,no
60,0_to_200,9,existing_duly_paid,business,1391,up_to_100,1_to_4y,2,male_married,none,1,real_estate,27,bank,own,1,employed,1,yes,yes,yes
61,0_to_200,15,critical_account,radio_tv,1537,unknown,over_7y,4,male_single,guarantor,4,real_estate,50,none,own,2,employed,1,yes,yes,yes
62,0_to_200,36,none_or_duly_paid,business,1953,up_to_100,over_7y,4,male_single,none,4,none_unknown,61,none,free,1,highly_qualified_or_self-employed,1,yes,yes,no
63,0_to_200,48,none_or_duly_paid,business,14421,up_to_100,1_to_4y,2,male_single,none,2,car_other,25,none,own,1,employed,1,yes,yes,no
64,none,24,existing_duly_paid,radio_tv,3181,up_to_100,up_to_1y,4,female_married_separated,none,4,building_society_savings_agreement_or_life_insurance,26,none,own,1,employed,1,yes,yes,yes
65,none,27,existing_duly_paid,repairs,5190,unknown,over_7y,4,male_single,none,4,building_society_savings_agreement_or_life_insurance,48,none,own,4,employed,2,yes,yes,yes
66,none,12,existing_duly_paid,radio_tv,2171,up_to_100,up_to_1y,2,female_married_separated,none,2,car_other,29,bank,own,1,employed,1,no,yes,yes
67,0_to_200,12,existing_duly_paid,car_new,1007,over_1000,1_to_4y,4,male_married,none,1,real_estate,22,none,own,1,employed,1,no,yes,yes
68,none,36,existing_duly_paid,education,1819,up_to_100,1_to_4y,4,male_single,none,4,none_unknown,37,stores,free,1,employed,1,yes,yes,no
69,none,36,existing_duly_paid,radio_tv,2394,unknown,1_to_4y,4,female_married_separated,none,4,car_other,25,none,own,1,employed,1,no,yes,yes
70,none,36,existing_duly_paid,car:used,8133,up_to_100,1_to_4y,1,female_married_separated,none,2,building_society_savings_agreement_or_life_insurance,30,bank,own,1,employed,1,no,yes,yes
71,none,7,critical_account,radio_tv,730,unknown,over_7y,4,male_single,none,2,building_society_savings_agreement_or_life_insurance,46,none,rent,2,unskilled_resident,1,yes,yes,yes
72,negative,8,critical_account,other,1164,up_to_100,over_7y,3,male_single,none,4,none_unknown,51,bank,free,2,highly_qualified_or_self-employed,2,yes,yes,yes
73,0_to_200,42,critical_account,business,5954,up_to_100,4_to_7y,2,female_married_separated,none,1,real_estate,41,bank,own,2,unskilled_resident,1,no,yes,yes
74,negative,36,existing_duly_paid,education,1977,unknown,over_7y,4,male_single,none,4,none_unknown,40,none,own,1,highly_qualified_or_self-employed,1,yes,yes,no
75,negative,12,critical_account,car:used,1526,up_to_100,over_7y,4,male_single,none,4,none_unknown,66,none,free,2,highly_qualified_or_self-employed,1,no,yes,yes
76,negative,42,existing_duly_paid,radio_tv,3965,up_to_100,up_to_1y,4,male_single,none,3,car_other,34,none,own,1,employed,1,no,yes,no
77,0_to_200,11,delayed,radio_tv,4771,up_to_100,4_to_7y,2,male_single,none,4,building_society_savings_agreement_or_life_insurance,51,none,own,1,employed,1,no,yes,yes
78,none,54,none_or_duly_paid,car:used,9436,unknown,1_to_4y,2,male_single,none,2,building_society_savings_agreement_or_life_insurance,39,none,own,1,unskilled_resident,2,no,yes,yes
79,0_to_200,30,existing_duly_paid,furniture,3832,up_to_100,up_to_1y,2,male_married,none,1,building_society_savings_agreement_or_life_insurance,22,none,own,1,employed,1,no,yes,yes
80,none,24,existing_duly_paid,radio_tv,5943,unknown,up_to_1y,1,female_married_separated,none,1,car_other,44,none,own,2,employed,1,yes,yes,no
81,none,15,existing_duly_paid,radio_tv,1213,500_to_1000,over_7y,4,male_single,none,3,building_society_savings_agreement_or_life_insurance,47,stores,own,1,employed,1,yes,yes,yes
82,none,18,existing_duly_paid,business,1568,100_to_500,1_to_4y,3,female_married_separated,none,4,building_society_savings_agreement_or_life_insurance,24,none,rent,1,unskilled_resident,1,no,yes,yes
83,negative,24,existing_duly_paid,other,1755,up_to_100,over_7y,4,female_married_separated,guarantor,4,real_estate,58,none,own,1,unskilled_resident,1,yes,yes,yes
84,negative,10,existing_duly_paid,radio_tv,2315,up_to_100,over_7y,3,male_single,none,4,real_estate,52,none,own,1,unskilled_resident,1,no,yes,yes
85,none,12,critical_account,business,1412,up_to_100,1_to_4y,4,female_married_separated,guarantor,2,real_estate,29,none,own,2,highly_qualified_or_self-employed,1,yes,yes,yes
86,0_to_200,18,critical_account,furniture,1295,up_to_100,up_to_1y,4,female_married_separated,none,1,building_society_savings_agreement_or_life_insurance,27,none,own,2,employed,1,no,yes,yes
87,0_to_200,36,existing_duly_paid,education,12612,100_to_500,1_to_4y,1,male_single,none,4,none_unknown,47,none,free,1,employed,2,yes,yes,no
88,negative,18,existing_duly_paid,car_new,2249,100_to_500,4_to_7y,4,male_single,none,3,car_other,30,none,own,1,highly_qualified_or_self-employed,2,yes,yes,yes
89,negative,12,none_or_duly_paid,repairs,1108,up_to_100,4_to_7y,4,male_single,none,3,real_estate,28,none,own,2,employed,1,no,yes,no
90,none,12,critical_account,radio_tv,618,up_to_100,over_7y,4,male_single,none,4,real_estate,56,none,own,1,employed,1,no,yes,yes
91,negative,12,critical_account,car:used,1409,up_to_100,over_7y,4,male_single,none,3,real_estate,54,none,own,1,employed,1,no,yes,yes
92,none,12,critical_account,radio_tv,797,unknown,over_7y,4,female_married_separated,none,3,building_society_savings_agreement_or_life_insurance,33,bank,own,1,unskilled_resident,2,no,yes,no
93,over_200,24,critical_account,furniture,3617,unknown,over_7y,4,male_single,co-applicant,4,none_unknown,20,none,rent,2,employed,1,no,yes,yes
94,0_to_200,12,existing_duly_paid,car_new,1318,over_1000,over_7y,4,male_single,none,4,real_estate,54,none,own,1,employed,1,yes,yes,yes
95,0_to_200,54,none_or_duly_paid,business,15945,up_to_100,up_to_1y,3,male_single,none,4,none_unknown,58,none,rent,1,employed,1,yes,yes,no
96,none,12,critical_account,education,2012,unknown,4_to_7y,4,female_married_separated,none,2,car_other,61,none,own,1,employed,1,no,yes,yes
97,0_to_200,18,existing_duly_paid,business,2622,100_to_500,1_to_4y,4,male_single,none,4,car_other,34,none,own,1,employed,1,no,yes,yes
98,0_to_200,36,critical_account,radio_tv,2337,up_to_100,over_7y,4,male_single,none,4,real_estate,36,none,own,1,employed,1,no,yes,yes
99,0_to_200,20,delayed,car:used,7057,unknown,4_to_7y,3,male_single,none,4,building_society_savings_agreement_or_life_insurance,36,bank,rent,2,highly_qualified_or_self-employed,2,yes,yes,yes
100,none,24,existing_duly_paid,car_new,1469,100_to_500,over_7y,4,male_married,none,4,real_estate,41,none,rent,1,unskilled_resident,1,no,yes,yes
101,0_to_200,36,existing_duly_paid,radio_tv,2323,up_to_100,4_to_7y,4,male_single,none,4,car_other,24,none,rent,1,employed,1,no,yes,yes
102,none,6,delayed,radio_tv,932,up_to_100,1_to_4y,3,female_married_separated,none,2,real_estate,24,none,own,1,employed,1,no,yes,yes
103,0_to_200,9,critical_account,furniture,1919,up_to_100,4_to_7y,4,male_single,none,3,car_other,35,none,rent,1,employed,1,yes,yes,yes
104,none,12,existing_duly_paid,car:used,2445,unknown,up_to_1y,2,male_married,none,4,car_other,26,none,rent,1,employed,1,yes,yes,yes
105,0_to_200,24,critical_account,other,11938,up_to_100,1_to_4y,2,male_single,co-applicant,3,car_other,39,none,own,2,highly_qualified_or_self-employed,2,yes,yes,no
106,none,18,duly_paid,car_new,6458,up_to_100,over_7y,2,male_single,none,4,none_unknown,39,bank,own,2,highly_qualified_or_self-employed,2,yes,yes,no
107,0_to_200,12,existing_duly_paid,car_new,6078,up_to_100,4_to_7y,2,male_single,none,2,car_other,32,none,own,1,employed,1,no,yes,yes
108,negative,24,existing_duly_paid,furniture,7721,unknown,up_to_1y,1,female_married_separated,none,2,building_society_savings_agreement_or_life_insurance,30,none,own,1,employed,1,yes,no,yes
109,0_to_200,14,existing_duly_paid,business,1410,500_to_1000,over_7y,1,male_married,none,2,real_estate,35,none,own,1,employed,1,yes,yes,yes
110,0_to_200,6,delayed,business,1449,100_to_500,over_7y,1,male_separated,none,2,car_other,31,bank,own,2,employed,2,no,yes,yes
111,over_200,15,existing_duly_paid,education,392,up_to_100,up_to_1y,4,female_married_separated,none,4,building_society_savings_agreement_or_life_insurance,23,none,rent,1,employed,1,yes,yes,yes
112,0_to_200,18,existing_duly_paid,car_new,6260,up_to_100,4_to_7y,3,male_single,none,3,real_estate,28,none,rent,1,unskilled_resident,1,no,yes,yes
113,none,36,critical_account,car_new,7855,up_to_100,1_to_4y,4,female_married_separated,none,2,real_estate,25,stores,own,2,employed,1,yes,yes,no
114,negative,12,existing_duly_paid,radio_tv,1680,500_to_1000,over_7y,3,male_married,none,1,real_estate,35,none,own,1,employed,1,no,yes,yes
115,none,48,critical_account,radio_tv,3578,unknown,over_7y,4,male_single,none,1,real_estate,47,none,own,1,employed,1,yes,yes,yes
116,negative,42,existing_duly_paid,radio_tv,7174,unknown,4_to_7y,4,female_married_separated,none,3,car_other,30,none,own,1,highly_qualified_or_self-employed,1,yes,yes,no
117,negative,10,critical_account,furniture,2132,unknown,up_to_1y,2,female_married_separated,co-applicant,3,real_estate,27,none,rent,2,employed,1,no,no,yes
118,negative,33,critical_account,furniture,4281,500_to_1000,1_to_4y,1,female_married_separated,none,4,car_other,23,none,own,2,employed,1,no,yes,no
119,0_to_200,12,critical_account,car_new,2366,500_to_1000,4_to_7y,3,male_separated,none,3,car_other,36,none,own,1,highly_qualified_or_self-employed,1,yes,yes,yes
120,negative,21,existing_duly_paid,radio_tv,1835,up_to_100,1_to_4y,3,female_married_separated,none,2,real_estate,25,none,own,2,employed,1,yes,yes,no
121,none,24,critical_account,car:used,3868,up_to_100,over_7y,4,female_married_separated,none,2,car_other,41,none,rent,2,highly_qualified_or_self-employed,1,yes,yes,yes
122,none,12,existing_duly_paid,furniture,1768,up_to_100,1_to_4y,3,male_single,none,2,real_estate,24,none,rent,1,unskilled_resident,1,no,yes,yes
123,over_200,10,critical_account,car_new,781,up_to_100,over_7y,4,male_single,none,4,none_unknown,63,none,free,2,employed,1,yes,yes,yes
124,0_to_200,18,existing_duly_paid,furniture,1924,unknown,up_to_1y,4,female_married_separated,none,3,real_estate,27,none,rent,1,employed,1,no,yes,no
125,negative,12,critical_account,car_new,2121,up_to_100,1_to_4y,4,male_single,none,2,building_society_savings_agreement_or_life_insurance,30,none,own,2,employed,1,no,yes,yes
126,negative,12,existing_duly_paid,radio_tv,701,up_to_100,1_to_4y,4,male_married,none,2,real_estate,40,none,own,1,unskilled_resident,1,no,yes,yes
127,0_to_200,12,existing_duly_paid,repairs,639,up_to_100,1_to_4y,4,male_single,none,2,car_other,30,none,own,1,employed,1,no,yes,no
128,0_to_200,12,critical_account,car:used,1860,up_to_100,unemployed,4,male_single,none,2,car_other,34,none,own,2,highly_qualified_or_self-employed,1,yes,yes,yes
129,negative,12,critical_account,car_new,3499,up_to_100,1_to_4y,3,female_married_separated,co-applicant,2,real_estate,29,none,own,2,employed,1,no,yes,no
130,0_to_200,48,existing_duly_paid,car_new,8487,unknown,4_to_7y,1,female_married_separated,none,2,car_other,24,none,own,1,employed,1,no,yes,yes
131,negative,36,delayed,education,6887,up_to_100,1_to_4y,4,male_single,none,3,building_society_savings_agreement_or_life_insurance,29,stores,own,1,employed,1,yes,yes,no
132,none,15,existing_duly_paid,furniture,2708,up_to_100,up_to_1y,2,male_single,none,3,building_society_savings_agreement_or_life_insurance,27,bank,own,2,unskilled_resident,1,no,yes,yes
133,none,18,existing_duly_paid,furniture,1984,up_to_100,1_to_4y,4,male_single,none,4,none_unknown,47,bank,free,2,employed,1,no,yes,yes
134,none,60,existing_duly_paid,radio_tv,10144,100_to_500,4_to_7y,2,female_married_separated,none,4,real_estate,21,none,own,1,employed,1,yes,yes,yes
135,none,12,critical_account,radio_tv,1240,unknown,over_7y,4,female_married_separated,none,2,real_estate,38,none,own,2,employed,1,yes,yes,yes
136,none,27,delayed,car:used,8613,over_1000,1_to_4y,2,male_single,none,2,car_other,27,none,own,2,employed,1,no,yes,yes
137,0_to_200,12,existing_duly_paid,radio_tv,766,500_to_1000,1_to_4y,4,male_single,none,3,real_estate,66,none,own,1,unskilled_resident,1,no,yes,no
138,0_to_200,15,critical_account,radio_tv,2728,unknown,4_to_7y,4,male_single,guarantor,2,real_estate,35,bank,own,3,employed,1,yes,yes,yes
139,over_200,12,existing_duly_paid,radio_tv,1881,up_to_100,1_to_4y,2,female_married_separated,none,2,car_other,44,none,rent,1,unskilled_resident,1,yes,yes,yes
140,over_200,6,existing_duly_paid,car_new,709,over_1000,up_to_1y,2,male_married,none,2,real_estate,27,none,own,1,unemployed_non-resident,1,no,no,yes
141,0_to_200,36,existing_duly_paid,radio_tv,4795,up_to_100,up_to_1y,4,female_married_separated,none,1,none_unknown,30,none,own,1,highly_qualified_or_self-employed,1,yes,yes,yes
142,negative,27,existing_duly_paid,radio_tv,3416,up_to_100,1_to_4y,3,male_single,none,2,car_other,27,none,own,1,highly_qualified_or_self-employed,1,no,yes,yes
143,negative,18,existing_duly_paid,furniture,2462,up_to_100,1_to_4y,2,male_single,none,2,car_other,22,none,own,1,employed,1,no,yes,no
144,none,21,critical_account,furniture,2288,up_to_100,up_to_1y,4,female_married_separated,none,4,building_society_savings_agreement_or_life_insurance,23,none,own,1,employed,1,yes,yes,yes
145,0_to_200,48,duly_paid,business,3566,100_to_500,4_to_7y,4,male_single,none,2,car_other,30,none,own,1,employed,1,no,yes,yes
146,negative,6,critical_account,car_new,860,up_to_100,over_7y,1,female_married_separated,none,4,none_unknown,39,none,own,2,employed,1,yes,yes,yes
147,none,12,critical_account,car_new,682,100_to_500,4_to_7y,4,female_married_separated,none,3,car_other,51,none,own,2,employed,1,yes,yes,yes
148,negative,36,critical_account,furniture,5371,up_to_100,1_to_4y,3,male_single,guarantor,2,building_society_savings_agreement_or_life_insurance,28,none,own,2,employed,1,no,yes,yes
149,none,18,critical_account,radio_tv,1582,over_1000,over_7y,4,male_single,none,4,car_other,46,none,own,2,employed,1,no,yes,yes
150,none,6,existing_duly_paid,radio_tv,1346,100_to_500,over_7y,2,male_single,none,4,none_unknown,42,bank,free,1,employed,2,yes,yes,yes
151,none,10,existing_duly_paid,radio_tv,1924,up_to_100,1_to_4y,1,male_single,none,4,building_society_savings_agreement_or_life_insurance,38,none,own,1,employed,1,yes,no,yes
152,over_200,36,existing_duly_paid,radio_tv,5848,up_to_100,1_to_4y,4,male_single,none,1,car_other,24,none,own,1,employed,1,no,yes,yes
153,0_to_200,24,critical_account,car:used,7758,over_1000,over_7y,2,female_married_separated,none,4,none_unknown,29,none,rent,1,employed,1,no,yes,yes
154,0_to_200,24,delayed,business,6967,100_to_500,4_to_7y,4,male_single,none,4,car_other,36,none,rent,1,highly_qualified_or_self-employed,1,yes,yes,yes
155,negative,12,existing_duly_paid,furniture,1282,up_to_100,1_to_4y,2,female_married_separated,none,4,car_other,20,none,rent,1,employed,1,no,yes,no
156,negative,9,critical_account,repairs,1288,100_to_500,over_7y,3,male_single,guarantor,4,real_estate,48,none,own,2,employed,2,no,no,yes
157,negative,12,duly_paid,retraining,339,up_to_100,over_7y,4,male_married,none,1,car_other,45,bank,own,1,unskilled_resident,1,no,yes,yes
158,0_to_200,24,existing_duly_paid,car_new,3512,100_to_500,4_to_7y,2,male_single,none,3,car_other,38,bank,own,2,employed,1,yes,yes,yes
159,none,6,critical_account,radio_tv,1898,unknown,1_to_4y,1,male_single,none,2,real_estate,34,none,own,2,unskilled_resident,2,no,yes,yes
160,none,24,critical_account,radio_tv,2872,100_to_500,over_7y,3,male_single,none,4,real_estate,36,none,own,1,employed,2,yes,yes,yes
161,none,18,critical_account,car_new,1055,up_to_100,up_to_1y,4,female_married_separated,none,1,building_society_savings_agreement_or_life_insurance,30,none,own,2,employed,1,no,yes,yes
162,none,15,existing_duly_paid,appliances,1262,500_to_1000,4_to_7y,4,male_single,none,3,building_society_savings_agreement_or_life_insurance,36,none,own,2,employed,1,yes,yes,yes
163,0_to_200,10,existing_duly_paid,car_new,7308,up_to_100,unemployed,2,male_single,none,4,none_unknown,70,bank,free,1,highly_qualified_or_self-employed,1,yes,yes,yes
164,none,36,existing_duly_paid,car_new,909,500_to_1000,over_7y,4,male_single,none,4,building_society_savings_agreement_or_life_insurance,36,none,own,1,employed,1,no,yes,yes
165,none,6,existing_duly_paid,furniture,2978,500_to_1000,1_to_4y,1,male_single,none,2,car_other,32,none,own,1,employed,1,yes,yes,yes
166,negative,18,existing_duly_paid,furniture,1131,up_to_100,unemployed,4,female_married_separated,none,2,car_other,33,none,own,1,employed,1,no,yes,no
167,0_to_200,11,existing_duly_paid,furniture,1577,over_1000,up_to_1y,4,female_married_separated,none,1,real_estate,20,none,own,1,employed,1,no,yes,yes
168,none,24,existing_duly_paid,furniture,3972,up_to_100,4_to_7y,2,female_married_separated,none,4,building_society_savings_agreement_or_life_insurance,25,none,rent,1,employed,1,yes,yes,yes
169,0_to_200,24,critical_account,business,1935,up_to_100,over_7y,4,male_separated,none,4,real_estate,31,none,own,2,employed,1,yes,yes,no
170,negative,15,none_or_duly_paid,car_new,950,up_to_100,over_7y,4,male_single,none,3,car_other,33,none,rent,2,employed,2,no,yes,no
171,none,12,existing_duly_paid,furniture,763,up_to_100,1_to_4y,4,female_married_separated,none,1,real_estate,26,none,own,1,employed,1,yes,yes,yes
172,0_to_200,24,delayed,furniture,2064,up_to_100,unemployed,3,female_married_separated,none,2,building_society_savings_agreement_or_life_insurance,34,none,own,1,highly_qualified_or_self-employed,1,yes,yes,no
173,0_to_200,8,existing_duly_paid,radio_tv,1414,up_to_100,1_to_4y,4,male_single,guarantor,2,real_estate,33,none,own,1,employed,1,no,no,yes
174,negative,21,delayed,education,3414,up_to_100,up_to_1y,2,male_single,none,1,building_society_savings_agreement_or_life_insurance,26,none,own,2,employed,1,no,yes,no
175,none,30,duly_paid,car:used,7485,unknown,unemployed,4,female_married_separated,none,1,real_estate,53,bank,own,1,highly_qualified_or_self-employed,1,yes,yes,no
176,negative,12,existing_duly_paid,furniture,2577,up_to_100,1_to_4y,2,male_separated,none,1,car_other,42,none,own,1,employed,1,no,yes,yes
