,checking_account,duration_in_month,credit_history,purpose,credit_amount,savings_account,employment_since,installment_rate,status_and_sex,co-applicants_guarantors,residence_since,property,age,other_installment_plans,housing,existing_credits,job,people_to_provide_maintenance_for,telephone,foreign_worker,customer_goodness
37,over_200,18,existing_duly_paid,radio_tv,2100,up_to_100,1_to_4y,4,male_single,co-applicant,2,real_estate,37,stores,own,1,employed,1,no,yes,0
38,over_200,10,existing_duly_paid,appliances,1225,up_to_100,1_to_4y,2,male_single,none,2,car_other,37,none,own,1,employed,1,yes,yes,1
39,0_to_200,9,existing_duly_paid,radio_tv,458,up_to_100,1_to_4y,4,male_single,none,3,real_estate,24,none,own,1,employed,1,no,yes,1
40,none,30,existing_duly_paid,radio_tv,2333,500_to_1000,over_7y,4,male_single,none,2,car_other,30,bank,own,1,highly_qualified_or_self-employed,1,no,yes,1
41,0_to_200,12,existing_duly_paid,radio_tv,1158,500_to_1000,1_to_4y,3,male_separated,none,1,car_other,26,none,own,1,employed,1,yes,yes,1
42,0_to_200,18,delayed,repairs,6204,up_to_100,1_to_4y,2,male_single,none,4,real_estate,44,none,own,1,unskilled_resident,2,yes,yes,1
43,negative,30,critical_account,car:used,6187,100_to_500,4_to_7y,1,male_married,none,4,car_other,24,none,rent,2,employed,1,no,yes,1
44,negative,48,critical_account,car:used,6143,up_to_100,over_7y,4,female_married_separated,none,4,none_unknown,58,stores,free,2,unskilled_resident,1,no,yes,0
45,none,11,critical_account,car_new,1393,up_to_100,up_to_1y,4,female_married_separated,none,4,car_other,35,none,own,2,highly_qualified_or_self-employed,1,no,yes,1
46,none,36,existing_duly_paid,radio_tv,2299,500_to_1000,over_7y,4,male_single,none,4,car_other,39,none,own,1,employed,1,no,yes,1
47,negative,6,existing_duly_paid,car:used,1352,500_to_1000,unemployed,1,female_married_separated,none,2,building_society_savings_agreement_or_life_insurance,23,none,rent,1,unemployed_non-resident,1,yes,yes,1
48,none,11,critical_account,car_new,7228,up_to_100,1_to_4y,1,male_single,none,4,building_society_savings_agreement_or_life_insurance,39,none,own,2,unskilled_resident,1,no,yes,1
49,none,12,existing_duly_paid,radio_tv,2073,100_to_500,1_to_4y,4,female_married_separated,co-applicant,2,real_estate,28,none,own,1,employed,1,no,yes,1
50,0_to_200,24,delayed,furniture,2333,unknown,up_to_1y,4,male_single,none,2,building_society_savings_agreement_or_life_insurance,29,bank,own,1,unskilled_resident,1,no,yes,1
51,0_to_200,27,delayed,car:used,5965,up_to_100,over_7y,1,male_single,none,2,car_other,30,none,own,2,highly_qualified_or_self-employed,1,yes,yes,1
52,none,12,existing_duly_paid,radio_tv,1262,up_to_100,1_to_4y,3,male_single,none,2,car_other,25,none,own,1,employed,1,no,yes,1
53,none,18,existing_duly_paid,car:used,3378,unknown,1_to_4y,2,male_single,none,1,building_society_savings_agreement_or_life_insurance,31,none,own,1,employed,1,yes,yes,1
54,0_to_200,36,delayed,car_new,2225,up_to_100,over_7y,4,male_single,none,4,none_unknown,57,bank,free,2,employed,1,yes,yes,0
55,none,6,duly_paid,car_new,783,unknown,1_to_4y,1,male_single,guarantor,2,real_estate,26,stores,own,1,unskilled_resident,2,no,yes,1
56,0_to_200,12,existing_duly_paid,radio_tv,6468,unknown,unemployed,2,male_single,none,1,none_unknown,52,none,own,1,highly_qualified_or_self-employed,1,yes,yes,0
57,none,36,critical_account,radio_tv,9566,up_to_100,1_to_4y,2,female_married_separated,none,2,car_other,31,stores,own,2,employed,1,no,yes,1
58,over_200,18,existing_duly_paid,car_new,1961,up_to_100,over_7y,3,female_married_separated,none,2,car_other,23,none,own,1,highly_qualified_or_self-employed,1,no,yes,1
59,negative,36,critical_account,furniture,6229,up_to_100,up_to_1y,4,female_married_separated,co-applicant,4,none_unknown,23,none,rent,2,unskilled_resident,1,yes,yes,0
60,0_to_200,9,existing_duly_paid,business,1391,up_to_100,1_to_4y,2,male_married,none,1,real_estate,27,bank,own,1,employed,1,yes,yes,1
61,0_to_200,15,critical_account,radio_tv,1537,unknown,over_7y,4,male_single,guarantor,4,real_estate,50,none,own,2,employed,1,yes,yes,1
62,0_to_200,36,none_or_duly_paid,business,1953,up_to_100,over_7y,4,male_single,none,4,none_unknown,61,none,free,1,highly_qualified_or_self-employed,1,yes,yes,0
63,0_to_200,48,none_or_duly_paid,business,14421,up_to_100,1_to_4y,2,male_single,none,2,car_other,25,none,own,1,employed,1,yes,yes,0
64,none,24,existing_duly_paid,radio_tv,3181,up_to_100,up_to_1y,4,female_married_separated,none,4,building_society_savings_agreement_or_life_insurance,26,none,own,1,employed,1,yes,yes,1
65,none,27,existing_duly_paid,repairs,5190,unknown,over_7y,4,male_single,none,4,building_society_savings_agreement_or_life_insurance,48,none,own,4,employed,2,yes,yes,1
66,none,12,existing_duly_paid,radio_tv,2171,up_to_100,up_to_1y,2,female_married_separated,none,2,car_other,29,bank,own,1,employed,1,no,yes,1
67,0_to_200,12,existing_duly_paid,car_new,1007,over_1000,1_to_4y,4,male_married,none,1,real_estate,22,none,own,1,employed,1,no,yes,1
68,none,36,existing_duly_paid,education,1819,up_to_100,1_to_4y,4,male_single,none,4,none_unknown,37,stores,free,1,employed,1,yes,yes,0
69,none,36,existing_duly_paid,radio_tv,2394,unknown,1_to_4y,4,female_married_separated,none,4,car_other,25,none,own,1,employed,1,no,yes,1
70,none,36,existing_duly_paid,car:used,8133,up_to_100,1_to_4y,1,female_married_separated,none,2,building_society_savings_agreement_or_life_insurance,30,bank,own,1,employed,1,no,yes,1
71,none,7,critical_account,radio_tv,730,unknown,over_7y,4,male_single,none,2,building_society_savings_agreement_or_life_insurance,46,none,rent,2,unskilled_resident,1,yes,yes,1
72,negative,8,critical_account,other,1164,up_to_100,over_7y,3,male_single,none,4,none_unknown,51,bank,free,2,highly_qualified_or_self-employed,2,yes,yes,1
73,0_to_200,42,critical_account,business,5954,up_to_100,4_to_7y,2,female_married_separated,none,1,real_estate,41,bank,own,2,unskilled_resident,1,no,yes,1
74,negative,36,existing_duly_paid,education,1977,unknown,over_7y,4,male_single,none,4,none_unknown,40,none,own,1,highly_qualified_or_self-employed,1,yes,yes,0
75,negative,12,critical_account,car:used,1526,up_to_100,over_7y,4,male_single,none,4,none_unknown,66,none,free,2,highly_qualified_or_self-employed,1,no,yes,1
76,negative,42,existing_duly_paid,radio_tv,3965,up_to_100,up_to_1y,4,male_single,none,3,car_other,34,none,own,1,employed,1,no,yes,0
77,0_to_200,11,delayed,radio_tv,4771,up_to_100,4_to_7y,2,male_single,none,4,building_society_savings_agreement_or_life_insurance,51,none,own,1,employed,1,no,yes,1
78,none,54,none_or_duly_paid,car:used,9436,unknown,1_to_4y,2,male_single,none,2,building_society_savings_agreement_or_life_insurance,39,none,own,1,unskilled_resident,2,no,yes,1
79,0_to_200,30,existing_duly_paid,furniture,3832,up_to_100,up_to_1y,2,male_married,none,1,building_society_savings_agreement_or_life_insurance,22,none,own,1,employed,1,no,yes,1
80,none,24,existing_duly_paid,radio_tv,5943,unknown,up_to_1y,1,female_married_separated,none,1,car_other,44,none,own,2,employed,1,yes,yes,0
81,none,15,existing_duly_paid,radio_tv,1213,500_to_1000,over_7y,4,male_single,none,3,building_society_savings_agreement_or_life_insurance,47,stores,own,1,employed,1,yes,yes,1
82,none,18,existing_duly_paid,business,1568,100_to_500,1_to_4y,3,female_married_separated,none,4,building_society_savings_agreement_or_life_insurance,24,none,rent,1,unskilled_resident,1,no,yes,1
83,negative,24,existing_duly_paid,other,1755,up_to_100,over_7y,4,female_married_separated,guarantor,4,real_estate,58,none,own,1,unskilled_resident,1,yes,yes,1
84,negative,10,existing_duly_paid,radio_tv,2315,up_to_100,over_7y,3,male_single,none,4,real_estate,52,none,own,1,unskilled_resident,1,no,yes,1
85,none,12,critical_account,business,1412,up_to_100,1_to_4y,4,female_married_separated,guarantor,2,real_estate,29,none,own,2,highly_qualified_or_self-employed,1,yes,yes,1
86,0_to_200,18,critical_account,furniture,1295,up_to_100,up_to_1y,4,female_married_separated,none,1,building_society_savings_agreement_or_life_insurance,27,none,own,2,employed,1,no,yes,1
87,0_to_200,36,existing_duly_paid,education,12612,100_to_500,1_to_4y,1,male_single,none,4,none_unknown,47,none,free,1,employed,2,yes,yes,0
88,negative,18,existing_duly_paid,car_new,2249,100_to_500,4_to_7y,4,male_single,none,3,car_other,30,none,own,1,highly_qualified_or_self-employed,2,yes,yes,1
89,negative,12,none_or_duly_paid,repairs,1108,up_to_100,4_to_7y,4,male_single,none,3,real_estate,28,none,own,2,employed,1,no,yes,0
90,none,12,critical_account,radio_tv,618,up_to_100,over_7y,4,male_single,none,4,real_estate,56,none,own,1,employed,1,no,yes,1
91,negative,12,critical_account,car:used,1409,up_to_100,over_7y,4,male_single,none,3,real_estate,54,none,own,1,employed,1,no,yes,1
92,none,12,critical_account,radio_tv,797,unknown,over_7y,4,female_married_separated,none,3,building_society_savings_agreement_or_life_insurance,33,bank,own,1,unskilled_resident,2,no,yes,0
93,over_200,24,critical_account,furniture,3617,unknown,over_7y,4,male_single,co-applicant,4,none_unknown,20,none,rent,2,employed,1,no,yes,1
94,0_to_200,12,existing_duly_paid,car_new,1318,over_1000,over_7y,4,male_single,none,4,real_estate,54,none,own,1,employed,1,yes,yes,1
95,0_to_200,54,none_or_duly_paid,business,15945,up_to_100,up_to_1y,3,male_single,none,4,none_unknown,58,none,rent,1,employed,1,yes,yes,0
96,none,12,critical_account,education,2012,unknown,4_to_7y,4,female_married_separated,none,2,car_other,61,none,own,1,employed,1,no,yes,1
97,0_to_200,18,existing_duly_paid,business,2622,100_to_500,1_to_4y,4,male_single,none,4,car_other,34,none,own,1,employed,1,no,yes,1
98,0_to_200,36,critical_account,radio_tv,2337,up_to_100,over_7y,4,male_single,none,4,real_estate,36,none,own,1,employed,1,no,yes,1
99,0_to_200,20,delayed,car:used,7057,unknown,4_to_7y,3,male_single,none,4,building_society_savings_agreement_or_life_insurance,36,bank,rent,2,highly_qualified_or_self-employed,2,yes,yes,1
100,none,24,existing_duly_paid,car_new,1469,100_to_500,over_7y,4,male_married,none,4,real_estate,41,none,rent,1,unskilled_resident,1,no,yes,1
101,0_to_200,36,existing_duly_paid,radio_tv,2323,up_to_100,4_to_7y,4,male_single,none,4,car_other,24,none,rent,1,employed,1,no,yes,1
102,none,6,delayed,radio_tv,932,up_to_100,1_to_4y,3,female_married_separated,none,2,real_estate,24,none,own,1,employed,1,no,yes,1
103,0_to_200,9,critical_account,furniture,1919,up_to_100,4_to_7y,4,male_single,none,3,car_other,35,none,rent,1,employed,1,yes,yes,1
104,none,12,existing_duly_paid,car:used,2445,unknown,up_to_1y,2,male_married,none,4,car_other,26,none,rent,1,employed,1,yes,yes,1
105,0_to_200,24,critical_account,other,11938,up_to_100,1_to_4y,2,male_single,co-applicant,3,car_other,39,none,own,2,highly_qualified_or_self-employed,2,yes,yes,0
106,none,18,duly_paid,car_new,6458,up_to_100,over_7y,2,male_single,none,4,none_unknown,39,bank,own,2,highly_qualified_or_self-employed,2,yes,yes,0
107,0_to_200,12,existing_duly_paid,car_new,6078,up_to_100,4_to_7y,2,male_single,none,2,car_other,32,none,own,1,employed,1,no,yes,1
108,negative,24,existing_duly_paid,furniture,7721,unknown,up_to_1y,1,female_married_separated,none,2,building_society_savings_agreement_or_life_insurance,30,none,own,1,employed,1,yes,no,1
109,0_to_200,14,existing_duly_paid,business,1410,500_to_1000,over_7y,1,male_married,none,2,real_estate,35,none,own,1,employed,1,yes,yes,1
110,0_to_200,6,delayed,business,1449,100_to_500,over_7y,1,male_separated,none,2,car_other,31,bank,own,2,employed,2,no,yes,1
111,over_200,15,existing_duly_paid,education,392,up_to_100,up_to_1y,4,female_married_separated,none,4,building_society_savings_agreement_or_life_insurance,23,none,rent,1,employed,1,yes,yes,1
112,0_to_200,18,existing_duly_paid,car_new,6260,up_to_100,4_to_7y,3,male_single,none,3,real_estate,28,none,rent,1,unskilled_resident,1,no,yes,1
113,none,36,critical_account,car_new,7855,up_to_100,1_to_4y,4,female_married_separated,none,2,real_estate,25,stores,own,2,employed,1,yes,yes,0
114,negative,12,existing_duly_paid,radio_tv,1680,500_to_1000,over_7y,3,male_married,none,1,real_estate,35,none,own,1,employed,1,no,yes,1
115,none,48,critical_account,radio_tv,3578,unknown,over_7y,4,male_single,none,1,real_estate,47,none,own,1,employed,1,yes,yes,1
116,negative,42,existing_duly_paid,radio_tv,7174,unknown,4_to_7y,4,female_married_separated,none,3,car_other,30,none,own,1,highly_qualified_or_self-employed,1,yes,yes,0
117,negative,10,critical_account,furniture,2132,unknown,up_to_1y,2,female_married_separated,co-applicant,3,real_estate,27,none,rent,2,employed,1,no,no,1
118,negative,33,critical_account,furniture,4281,500_to_1000,1_to_4y,1,female_married_separated,none,4,car_other,23,none,own,2,employed,1,no,yes,0
119,0_to_200,12,critical_account,car_new,2366,500_to_1000,4_to_7y,3,male_separated,none,3,car_other,36,none,own,1,highly_qualified_or_self-employed,1,yes,yes,1
120,negative,21,existing_duly_paid,radio_tv,1835,up_to_100,1_to_4y,3,female_married_separated,none,2,real_estate,25,none,own,2,employed,1,yes,yes,0
121,none,24,critical_account,car:used,3868,up_to_100,over_7y,4,female_married_separated,none,2,car_other,41,none,rent,2,highly_qualified_or_self-employed,1,yes,yes,1
122,none,12,existing_duly_paid,furniture,1768,up_to_100,1_to_4y,3,male_single,none,2,real_estate,24,none,rent,1,unskilled_resident,1,no,yes,1
123,over_200,10,critical_account,car_new,781,up_to_100,over_7y,4,male_single,none,4,none_unknown,63,none,free,2,employed,1,yes,yes,1
124,0_to_200,18,existing_duly_paid,furniture,1924,unknown,up_to_1y,4,female_married_separated,none,3,real_estate,27,none,rent,1,employed,1,no,yes,0
125,negative,12,critical_account,car_new,2121,up_to_100,1_to_4y,4,male_single,none,2,building_society_savings_agreement_or_life_insurance,30,none,own,2,employed,1,no,yes,1
126,negative,12,existing_duly_paid,radio_tv,701,up_to_100,1_to_4y,4,male_married,none,2,real_estate,40,none,own,1,unskilled_resident,1,no,yes,1
127,0_to_200,12,existing_duly_paid,repairs,639,up_to_100,1_to_4y,4,male_single,none,2,car_other,30,none,own,1,employed,1,no,yes,0
128,0_to_200,12,critical_account,car:used,1860,up_to_100,unemployed,4,male_single,none,2,car_other,34,none,own,2,highly_qualified_or_self-employed,1,yes,yes,1
129,negative,12,critical_account,car_new,3499,up_to_100,1_to_4y,3,female_married_separated,co-applicant,2,real_estate,29,none,own,2,employed,1,no,yes,0
130,0_to_200,48,existing_duly_paid,car_new,8487,unknown,4_to_7y,1,female_married_separated,none,2,car_other,24,none,own,1,employed,1,no,yes,1
131,negative,36,delayed,education,6887,up_to_100,1_to_4y,4,male_single,none,3,building_society_savings_agreement_or_life_insurance,29,stores,own,1,employed,1,yes,yes,0
132,none,15,existing_duly_paid,furniture,2708,up_to_100,up_to_1y,2,male_single,none,3,building_society_savings_agreement_or_life_insurance,27,bank,own,2,unskilled_resident,1,no,yes,1
133,none,18,existing_duly_paid,furniture,1984,up_to_100,1_to_4y,4,male_single,none,4,none_unknown,47,bank,free,2,employed,1,no,yes,1
134,none,60,existing_duly_paid,radio_tv,10144,100_to_500,4_to_7y,2,female_married_separated,none,4,real_estate,21,none,own,1,employed,1,yes,yes,1
135,none,12,critical_account,radio_tv,1240,unknown,over_7y,4,female_married_separated,none,2,real_estate,38,none,own,2,employed,1,yes,yes,1
136,none,27,delayed,car:used,8613,over_1000,1_to_4y,2,male_single,none,2,car_other,27,none,own,2,employed,1,no,yes,1
137,0_to_200,12,existing_duly_paid,radio_tv,766,500_to_1000,1_to_4y,4,male_single,none,3,real_estate,66,none,own,1,unskilled_resident,1,no,yes,0
138,0_to_200,15,critical_account,radio_tv,2728,unknown,4_to_7y,4,male_single,guarantor,2,real_estate,35,bank,own,3,employed,1,yes,yes,1
139,over_200,12,existing_duly_paid,radio_tv,1881,up_to_100,1_to_4y,2,female_married_separated,none,2,car_other,44,none,rent,1,unskilled_resident,1,yes,yes,1
140,over_200,6,existing_duly_paid,car_new,709,over_1000,up_to_1y,2,male_married,none,2,real_estate,27,none,own,1,unemployed_non-resident,1,no,no,1
141,0_to_200,36,existing_duly_paid,radio_tv,4795,up_to_100,up_to_1y,4,female_married_separated,none,1,none_unknown,30,none,own,1,highly_qualified_or_self-employed,1,yes,yes,1
142,negative,27,existing_duly_paid,radio_tv,3416,up_to_100,1_to_4y,3,male_single,none,2,car_other,27,none,own,1,highly_qualified_or_self-employed,1,no,yes,1
143,negative,18,existing_duly_paid,furniture,2462,up_to_100,1_to_4y,2,male_single,none,2,car_other,22,none,own,1,employed,1,no,yes,0
144,none,21,critical_account,furniture,2288,up_to_100,up_to_1y,4,female_married_separated,none,4,building_society_savings_agreement_or_life_insurance,23,none,own,1,employed,1,yes,yes,1
145,0_to_200,48,duly_paid,business,3566,100_to_500,4_to_7y,4,male_single,none,2,car_other,30,none,own,1,employed,1,no,yes,1
146,negative,6,critical_account,car_new,860,up_to_100,over_7y,1,female_married_separated,none,4,none_unknown,39,none,own,2,employed,1,yes,yes,1
147,none,12,critical_account,car_new,682,100_to_500,4_to_7y,4,female_married_separated,none,3,car_other,51,none,own,2,employed,1,yes,yes,1
148,negative,36,critical_account,furniture,5371,up_to_100,1_to_4y,3,male_single,guarantor,2,building_society_savings_agreement_or_life_insurance,28,none,own,2,employed,1,no,yes,1
149,none,18,critical_account,radio_tv,1582,over_1000,over_7y,4,male_single,none,4,car_other,46,none,own,2,employed,1,no,yes,1
150,none,6,existing_duly_paid,radio_tv,1346,100_to_500,over_7y,2,male_single,none,4,none_unknown,42,bank,free,1,employed,2,yes,yes,1
151,none,10,existing_duly_paid,radio_tv,1924,up_to_100,1_to_4y,1,male_single,none,4,building_society_savings_agreement_or_life_insurance,38,none,own,1,employed,1,yes,no,1
152,over_200,36,existing_duly_paid,radio_tv,5848,up_to_100,1_to_4y,4,male_single,none,1,car_other,24,none,own,1,employed,1,no,yes,1
153,0_to_200,24,critical_account,car:used,7758,over_1000,over_7y,2,female_married_separated,none,4,none_unknown,29,none,rent,1,employed,1,no,yes,1
154,0_to_200,24,delayed,business,6967,100_to_500,4_to_7y,4,male_single,none,4,car_other,36,none,rent,1,highly_qualified_or_self-employed,1,yes,yes,1
155,negative,12,existing_duly_paid,furniture,1282,up_to_100,1_to_4y,2,female_married_separated,none,4,car_other,20,none,rent,1,employed,1,no,yes,0
156,negative,9,critical_account,repairs,1288,100_to_500,over_7y,3,male_single,guarantor,4,real_estate,48,none,own,2,employed,2,no,no,1
157,negative,12,duly_paid,retraining,339,up_to_100,over_7y,4,male_married,none,1,car_other,45,bank,own,1,unskilled_resident,1,no,yes,1
158,0_to_200,24,existing_duly_paid,car_new,3512,100_to_500,4_to_7y,2,male_single,none,3,car_other,38,bank,own,2,employed,1,yes,yes,1
159,none,6,critical_account,radio_tv,1898,unknown,1_to_4y,1,male_single,none,2,real_estate,34,none,own,2,unskilled_resident,2,no,yes,1
160,none,24,critical_account,radio_tv,2872,100_to_500,over_7y,3,male_single,none,4,real_estate,36,none,own,1,employed,2,yes,yes,1
161,none,18,critical_account,car_new,1055,up_to_100,up_to_1y,4,female_married_separated,none,1,building_society_savings_agreement_or_life_insurance,30,none,own,2,employed,1,no,yes,1
162,none,15,existing_duly_paid,appliances,1262,500_to_1000,4_to_7y,4,male_single,none,3,building_society_savings_agreement_or_life_insurance,36,none,own,2,employed,1,yes,yes,1
163,0_to_200,10,existing_duly_paid,car_new,7308,up_to_100,unemployed,2,male_single,none,4,none_unknown,70,bank,free,1,highly_qualified_or_self-employed,1,yes,yes,1
164,none,36,existing_duly_paid,car_new,909,500_to_1000,over_7y,4,male_single,none,4,building_society_savings_agreement_or_life_insurance,36,none,own,1,employed,1,no,yes,1
165,none,6,existing_duly_paid,furniture,2978,500_to_1000,1_to_4y,1,male_single,none,2,car_other,32,none,own,1,employed,1,yes,yes,1
166,negative,18,existing_duly_paid,furniture,1131,up_to_100,unemployed,4,female_married_separated,none,2,car_other,33,none,own,1,employed,1,no,yes,0
167,0_to_200,11,existing_duly_paid,furniture,1577,over_1000,up_to_1y,4,female_married_separated,none,1,real_estate,20,none,own,1,employed,1,no,yes,1
168,none,24,existing_duly_paid,furniture,3972,up_to_100,4_to_7y,2,female_married_separated,none,4,building_society_savings_agreement_or_life_insurance,25,none,rent,1,employed,1,yes,yes,1
169,0_to_200,24,critical_account,business,1935,up_to_100,over_7y,4,male_separated,none,4,real_estate,31,none,own,2,employed,1,yes,yes,0
170,negative,15,none_or_duly_paid,car_new,950,up_to_100,over_7y,4,male_single,none,3,car_other,33,none,rent,2,employed,2,no,yes,0
171,none,12,existing_duly_paid,furniture,763,up_to_100,1_to_4y,4,female_married_separated,none,1,real_estate,26,none,own,1,employed,1,yes,yes,1
172,0_to_200,24,delayed,furniture,2064,up_to_100,unemployed,3,female_married_separated,none,2,building_society_savings_agreement_or_life_insurance,34,none,own,1,highly_qualified_or_self-employed,1,yes,yes,0
173,0_to_200,8,existing_duly_paid,radio_tv,1414,up_to_100,1_to_4y,4,male_single,guarantor,2,real_estate,33,none,own,1,employed,1,no,no,1
174,negative,21,delayed,education,3414,up_to_100,up_to_1y,2,male_single,none,1,building_society_savings_agreement_or_life_insurance,26,none,own,2,employed,1,no,yes,0
175,none,30,duly_paid,car:used,7485,unknown,unemployed,4,female_married_separated,none,1,real_estate,53,bank,own,1,highly_qualified_or_self-employed,1,yes,yes,0
176,negative,12,existing_duly_paid,furniture,2577,up_to_100,1_to_4y,2,male_separated,none,1,car_other,42,none,own,1,employed,1,no,yes,1
177,negative,6,critical_account,radio_tv,338,500_to_1000,over_7y,4,male_single,none,4,car_other,52,none,own,2,employed,1,no,yes,1
178,none,12,existing_duly_paid,radio_tv,1963,up_to_100,4_to_7y,4,male_single,none,2,car_other,31,none,rent,2,highly_qualified_or_self-employed,2,yes,yes,1
