,checking account,duration in month,credit history,credit purpose,credit amount,savings account,employment since..,installment rate,status : sex,other debtors / guarantors,residence since,property,relationship : age,other installment plans,housing,existing credits,job,people to provide maintenance for,telephone,foreign worker,goodness
23,<0 DM,36,none open,domestic appliances,2384,unknown/no savings account,<1 yr,<20,male : married/widowed,none,< 1 yr,real estate,33,none,for free,1,unskilled - resident,0 to 2,no,no,bad
24,<0 DM,12,fully paid back,radio/television,1424,unknown/no savings account,4-6 yrs,<20,male : married/widowed,none,4-6 yrs,car or other,26,none,rent,1,skilled employee/official,0 to 2,no,no,good
25,No Account,6,fully paid back,others,4716,>=1000 DM,<1 yr,>= 35,male : married/widowed,none,4-6 yrs,unknown / no property,44,none,rent,2,unskilled - resident,3 or more,no,no,good
26,<0 DM,11,paid open rates,furniture/equipment,4771,unknown/no savings account,4-6 yrs,25-34,male : married/widowed,none,>= 7 yrs,car or other,51,none,rent,1,skilled employee/official,0 to 2,no,no,good
27,No Account,12,none open,car (used),652,unknown/no savings account,>= 7 yrs,<20,female: non-single or male: single,none,>= 7 yrs,car or other,24,none,for free,1,skilled employee/official,0 to 2,no,no,good
28,<0 DM,9,fully paid back,furniture/equipment,1154,unknown/no savings account,>= 7 yrs,25-34,male : married/widowed,none,>= 7 yrs,unknown / no property,37,none,rent,3,unskilled - resident,0 to 2,no,no,good
29,>=200 DM,15,none open,others,3556,>=1000 DM,1-3 yrs,20-24,male : married/widowed,none,1-3 yrs,real estate,29,none,rent,1,skilled employee/official,0 to 2,no,no,good
30,0-200 DM,42,fully paid back,car (new),4796,unknown/no savings account,>= 7 yrs,<20,male : married/widowed,none,>= 7 yrs,real estate,56,none,own,1,skilled employee/official,0 to 2,no,no,good
31,0-200 DM,30,fully paid back,furniture/equipment,3017,unknown/no savings account,>= 7 yrs,<20,male : married/widowed,none,>= 7 yrs,car or other,47,none,rent,1,skilled employee/official,0 to 2,no,no,good
32,>=200 DM,36,fully paid back,others,3535,unknown/no savings account,4-6 yrs,<20,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,37,none,rent,2,skilled employee/official,0 to 2,yes,no,good
33,>=200 DM,36,fully paid back,others,6614,unknown/no savings account,>= 7 yrs,<20,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,34,none,rent,2,manager/self-empl./highly qualif,0 to 2,yes,no,good
34,>=200 DM,24,none open,furniture/equipment,1376,100-500 DM,4-6 yrs,<20,female: non-single or male: single,none,< 1 yr,building soc. savings agr./life insurance,28,none,rent,1,skilled employee/official,0 to 2,no,no,good
35,No Account,15,none open,others,1721,unknown/no savings account,<1 yr,25-34,male : married/widowed,none,4-6 yrs,unknown / no property,36,none,rent,1,skilled employee/official,0 to 2,no,no,good
36,No Account,6,fully paid back,others,860,unknown/no savings account,>= 7 yrs,>= 35,female: non-single or male: single,none,>= 7 yrs,real estate,39,none,rent,2,skilled employee/official,0 to 2,yes,no,good
37,>=200 DM,12,fully paid back,others,1495,unknown/no savings account,>= 7 yrs,<20,male : married/widowed,none,< 1 yr,unknown / no property,38,none,rent,2,unskilled - resident,3 or more,no,no,good
38,>=200 DM,12,fully paid back,furniture/equipment,1934,unknown/no savings account,>= 7 yrs,25-34,male : married/widowed,none,1-3 yrs,real estate,26,none,rent,2,skilled employee/official,0 to 2,no,no,good
39,>=200 DM,18,none open,car (new),3378,>=1000 DM,1-3 yrs,25-34,male : married/widowed,none,< 1 yr,car or other,31,none,rent,1,skilled employee/official,0 to 2,yes,no,good
40,>=200 DM,24,fully paid back,car (new),3868,unknown/no savings account,>= 7 yrs,<20,female: non-single or male: single,none,1-3 yrs,building soc. savings agr./life insurance,41,none,for free,2,manager/self-empl./highly qualif,0 to 2,yes,no,good
41,>=200 DM,12,fully paid back,domestic appliances,996,>=1000 DM,4-6 yrs,<20,female: non-single or male: single,none,>= 7 yrs,unknown / no property,23,none,rent,2,skilled employee/official,0 to 2,no,no,good
42,No Account,24,none open,business,1755,unknown/no savings account,>= 7 yrs,<20,female: non-single or male: single,guarantor,>= 7 yrs,unknown / no property,58,none,rent,1,unskilled - resident,0 to 2,yes,no,good
43,>=200 DM,18,fully paid back,others,1028,unknown/no savings account,1-3 yrs,<20,female: non-single or male: single,none,4-6 yrs,unknown / no property,36,none,rent,2,skilled employee/official,0 to 2,no,no,good
44,<0 DM,24,fully paid back,retraining,2825,>=1000 DM,4-6 yrs,<20,male : married/widowed,none,4-6 yrs,real estate,34,none,rent,2,skilled employee/official,3 or more,yes,no,good
45,<0 DM,18,none open,repairs,1239,>=1000 DM,1-3 yrs,<20,male : married/widowed,none,>= 7 yrs,real estate,61,none,own,1,skilled employee/official,0 to 2,no,no,good
46,No Account,18,none open,others,1216,unknown/no savings account,<1 yr,<20,female: non-single or male: single,none,4-6 yrs,building soc. savings agr./life insurance,23,none,for free,1,skilled employee/official,0 to 2,yes,no,bad
47,>=200 DM,24,none open,retraining,1258,unknown/no savings account,4-6 yrs,<20,male : married/widowed,none,< 1 yr,unknown / no property,25,none,rent,1,skilled employee/official,0 to 2,yes,no,good
48,>=200 DM,18,fully paid back,repairs,1864,<100 DM,1-3 yrs,<20,female: non-single or male: single,none,1-3 yrs,unknown / no property,30,none,rent,2,skilled employee/official,0 to 2,no,no,bad
49,>=200 DM,24,none open,others,1474,<100 DM,<1 yr,<20,female : single,none,4-6 yrs,unknown / no property,33,none,rent,1,skilled employee/official,0 to 2,yes,no,good
50,No Account,24,fully paid back,retraining,1382,<100 DM,4-6 yrs,<20,male : married/widowed,none,< 1 yr,unknown / no property,26,none,rent,2,skilled employee/official,0 to 2,yes,no,good
51,>=200 DM,12,none open,others,640,unknown/no savings account,1-3 yrs,<20,male : divorced/separated,none,1-3 yrs,unknown / no property,49,none,rent,1,unskilled - resident,0 to 2,no,no,good
52,0-200 DM,36,none open,furniture/equipment,3919,unknown/no savings account,1-3 yrs,25-34,male : married/widowed,none,1-3 yrs,unknown / no property,23,none,rent,1,skilled employee/official,0 to 2,yes,no,good
53,>=200 DM,9,fully paid back,others,1224,unknown/no savings account,1-3 yrs,20-24,male : married/widowed,none,< 1 yr,unknown / no property,30,none,rent,2,skilled employee/official,0 to 2,no,no,good
54,>=200 DM,12,fully paid back,furniture/equipment,2331,>=1000 DM,>= 7 yrs,>= 35,male : married/widowed,co-applicant,>= 7 yrs,unknown / no property,49,none,rent,1,skilled employee/official,0 to 2,yes,no,good
55,>=200 DM,24,none open,car (new),6313,>=1000 DM,>= 7 yrs,20-24,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,41,none,rent,1,manager/self-empl./highly qualif,3 or more,yes,no,good
56,No Account,12,fully paid back,furniture/equipment,385,unknown/no savings account,4-6 yrs,<20,female: non-single or male: single,none,4-6 yrs,unknown / no property,58,none,rent,4,unskilled - resident,0 to 2,yes,no,good
57,>=200 DM,12,fully paid back,furniture/equipment,1655,unknown/no savings account,>= 7 yrs,25-34,male : married/widowed,none,>= 7 yrs,unknown / no property,63,none,rent,2,unskilled - resident,0 to 2,yes,no,good
58,No Account,15,none open,furniture/equipment,1053,unknown/no savings account,<1 yr,<20,female : single,none,1-3 yrs,unknown / no property,27,none,rent,1,skilled employee/official,0 to 2,no,yes,good
59,>=200 DM,21,none open,furniture/equipment,3160,>=1000 DM,>= 7 yrs,<20,male : married/widowed,none,4-6 yrs,car or other,41,none,rent,1,skilled employee/official,0 to 2,yes,no,good
60,>=200 DM,36,none open,others,3079,>=1000 DM,1-3 yrs,<20,male : married/widowed,none,>= 7 yrs,unknown / no property,36,none,rent,1,skilled employee/official,0 to 2,no,no,good
61,>=200 DM,12,fully paid back,others,1163,100-500 DM,1-3 yrs,<20,male : married/widowed,none,>= 7 yrs,unknown / no property,44,none,rent,1,skilled employee/official,0 to 2,yes,no,good
62,>=200 DM,24,none open,car (new),2679,unknown/no savings account,<1 yr,<20,female: non-single or male: single,none,< 1 yr,real estate,29,none,rent,1,manager/self-empl./highly qualif,0 to 2,yes,no,good
63,>=200 DM,48,fully paid back,furniture/equipment,3578,>=1000 DM,>= 7 yrs,<20,male : married/widowed,none,< 1 yr,unknown / no property,47,none,rent,1,skilled employee/official,0 to 2,yes,no,good
64,>=200 DM,36,paid open rates,others,10875,unknown/no savings account,>= 7 yrs,25-34,male : married/widowed,none,1-3 yrs,building soc. savings agr./life insurance,45,none,rent,2,skilled employee/official,3 or more,yes,no,good
65,No Account,12,paid open rates,others,1344,unknown/no savings account,1-3 yrs,<20,male : married/widowed,none,1-3 yrs,unknown / no property,43,none,rent,2,unskilled - resident,3 or more,no,no,good
66,>=200 DM,6,fully paid back,furniture/equipment,1237,<100 DM,1-3 yrs,>= 35,female: non-single or male: single,none,< 1 yr,car or other,27,none,rent,2,skilled employee/official,0 to 2,no,no,good
67,>=200 DM,12,none open,furniture/equipment,3077,unknown/no savings account,1-3 yrs,25-34,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,52,none,rent,1,skilled employee/official,0 to 2,yes,no,good
68,>=200 DM,24,none open,furniture/equipment,2284,unknown/no savings account,4-6 yrs,<20,male : married/widowed,none,1-3 yrs,building soc. savings agr./life insurance,28,none,rent,1,skilled employee/official,0 to 2,yes,no,good
69,<0 DM,12,none open,furniture/equipment,1567,unknown/no savings account,1-3 yrs,>= 35,female: non-single or male: single,none,< 1 yr,building soc. savings agr./life insurance,22,none,rent,1,skilled employee/official,0 to 2,yes,no,good
70,>=200 DM,24,paid open rates,others,2032,unknown/no savings account,>= 7 yrs,<20,male : married/widowed,none,>= 7 yrs,real estate,60,none,own,2,skilled employee/official,0 to 2,yes,no,good
71,<0 DM,21,fully paid back,car (used),2745,500-1000 DM,4-6 yrs,20-24,male : married/widowed,none,1-3 yrs,building soc. savings agr./life insurance,32,none,rent,2,skilled employee/official,0 to 2,yes,no,good
72,>=200 DM,30,none open,furniture/equipment,1867,>=1000 DM,>= 7 yrs,<20,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,58,none,rent,1,skilled employee/official,0 to 2,yes,no,good
73,>=200 DM,36,none open,furniture/equipment,2299,100-500 DM,>= 7 yrs,<20,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,39,none,rent,1,skilled employee/official,0 to 2,no,no,good
74,>=200 DM,24,none open,car (used),929,>=1000 DM,4-6 yrs,<20,male : married/widowed,none,1-3 yrs,building soc. savings agr./life insurance,31,stores,rent,1,skilled employee/official,0 to 2,yes,no,good
75,0-200 DM,12,none open,furniture/equipment,3399,>=1000 DM,>= 7 yrs,25-34,male : married/widowed,none,4-6 yrs,building soc. savings agr./life insurance,37,none,rent,1,manager/self-empl./highly qualif,0 to 2,no,no,good
76,<0 DM,9,none open,car (used),2030,>=1000 DM,4-6 yrs,25-34,male : married/widowed,none,< 1 yr,building soc. savings agr./life insurance,24,none,rent,1,skilled employee/official,0 to 2,yes,no,good
77,>=200 DM,21,fully paid back,car (new),3275,unknown/no savings account,>= 7 yrs,>= 35,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,36,none,rent,1,manager/self-empl./highly qualif,0 to 2,yes,no,good
78,>=200 DM,24,fully paid back,others,1940,500-1000 DM,>= 7 yrs,<20,male : married/widowed,none,>= 7 yrs,unknown / no property,60,none,rent,1,skilled employee/official,0 to 2,yes,no,good
79,No Account,21,fully paid back,others,1602,unknown/no savings account,>= 7 yrs,<20,female : single,none,4-6 yrs,building soc. savings agr./life insurance,30,none,rent,2,skilled employee/official,0 to 2,yes,no,good
80,>=200 DM,15,none open,furniture/equipment,1979,>=1000 DM,>= 7 yrs,<20,male : married/widowed,none,1-3 yrs,building soc. savings agr./life insurance,35,none,rent,1,skilled employee/official,0 to 2,no,no,good
81,>=200 DM,24,fully paid back,others,2022,unknown/no savings account,1-3 yrs,<20,female: non-single or male: single,none,>= 7 yrs,building soc. savings agr./life insurance,37,none,rent,1,skilled employee/official,0 to 2,yes,no,good
82,>=200 DM,36,fully paid back,furniture/equipment,3342,>=1000 DM,>= 7 yrs,<20,male : married/widowed,none,1-3 yrs,building soc. savings agr./life insurance,51,none,rent,1,skilled employee/official,0 to 2,yes,no,good
83,<0 DM,18,none open,others,5866,<100 DM,1-3 yrs,25-34,male : married/widowed,none,1-3 yrs,building soc. savings agr./life insurance,30,none,rent,2,skilled employee/official,0 to 2,yes,no,good
84,0-200 DM,15,fully paid back,car (new),2360,100-500 DM,1-3 yrs,25-34,male : married/widowed,none,1-3 yrs,building soc. savings agr./life insurance,36,none,rent,1,skilled employee/official,0 to 2,yes,no,good
85,>=200 DM,15,fully paid back,car (used),1520,>=1000 DM,>= 7 yrs,<20,male : married/widowed,none,>= 7 yrs,car or other,63,none,rent,1,skilled employee/official,0 to 2,no,no,good
86,No Account,12,none open,others,3651,500-1000 DM,1-3 yrs,>= 35,male : married/widowed,none,4-6 yrs,car or other,31,none,rent,1,skilled employee/official,3 or more,no,no,good
87,>=200 DM,24,fully paid back,car (new),2346,unknown/no savings account,4-6 yrs,<20,male : married/widowed,none,4-6 yrs,building soc. savings agr./life insurance,35,none,rent,2,skilled employee/official,0 to 2,yes,no,good
88,>=200 DM,36,paid open rates,furniture/equipment,4454,unknown/no savings account,1-3 yrs,<20,female: non-single or male: single,none,>= 7 yrs,unknown / no property,34,none,rent,2,skilled employee/official,0 to 2,no,no,good
89,No Account,6,fully paid back,others,666,500-1000 DM,4-6 yrs,20-24,female: non-single or male: single,none,>= 7 yrs,unknown / no property,39,none,rent,2,unskilled - resident,0 to 2,yes,no,good
90,<0 DM,24,paid open rates,others,1965,>=1000 DM,1-3 yrs,<20,female: non-single or male: single,none,>= 7 yrs,building soc. savings agr./life insurance,42,none,for free,2,skilled employee/official,0 to 2,yes,no,good
91,<0 DM,12,fully paid back,others,1995,<100 DM,<1 yr,<20,male : married/widowed,none,< 1 yr,building soc. savings agr./life insurance,27,none,rent,1,skilled employee/official,0 to 2,no,no,good
92,<0 DM,30,none open,furniture/equipment,2991,>=1000 DM,>= 7 yrs,25-34,female: non-single or male: single,none,>= 7 yrs,building soc. savings agr./life insurance,25,none,rent,1,skilled employee/official,0 to 2,no,no,good
93,<0 DM,30,past delay,retraining,4221,unknown/no savings account,1-3 yrs,25-34,female: non-single or male: single,none,< 1 yr,building soc. savings agr./life insurance,28,none,rent,2,skilled employee/official,0 to 2,no,no,good
94,No Account,9,none open,furniture/equipment,1364,unknown/no savings account,4-6 yrs,20-24,male : married/widowed,none,>= 7 yrs,unknown / no property,59,none,rent,1,skilled employee/official,0 to 2,no,no,good
95,<0 DM,18,fully paid back,car (used),6361,unknown/no savings account,>= 7 yrs,25-34,male : married/widowed,none,< 1 yr,real estate,41,none,rent,1,skilled employee/official,0 to 2,yes,no,good
96,>=200 DM,27,fully paid back,car (used),4526,500-1000 DM,<1 yr,<20,male : married/widowed,none,1-3 yrs,unknown / no property,32,stores,rent,2,unskilled - resident,3 or more,yes,no,good
97,<0 DM,12,fully paid back,furniture/equipment,3573,unknown/no savings account,1-3 yrs,>= 35,female: non-single or male: single,none,< 1 yr,unknown / no property,23,none,rent,1,unskilled - resident,0 to 2,no,no,good
98,<0 DM,36,paid open rates,retraining,4455,unknown/no savings account,1-3 yrs,25-34,male : divorced/separated,none,1-3 yrs,unknown / no property,30,stores,rent,2,manager/self-empl./highly qualif,0 to 2,yes,no,bad
99,No Account,9,none open,car (used),2136,unknown/no savings account,1-3 yrs,20-24,male : married/widowed,none,1-3 yrs,unknown / no property,25,none,rent,1,skilled employee/official,0 to 2,no,no,good
100,<0 DM,42,fully paid back,retraining,5954,unknown/no savings account,4-6 yrs,25-34,female: non-single or male: single,none,< 1 yr,unknown / no property,41,bank,rent,2,unskilled - resident,0 to 2,no,no,good
101,>=200 DM,24,fully paid back,car (used),3777,500-1000 DM,1-3 yrs,<20,male : married/widowed,none,>= 7 yrs,unknown / no property,40,none,rent,1,skilled employee/official,0 to 2,yes,no,good
102,No Account,15,none open,retraining,806,unknown/no savings account,1-3 yrs,<20,female: non-single or male: single,none,>= 7 yrs,car or other,22,none,rent,1,unskilled - resident,0 to 2,no,no,good
103,<0 DM,24,paid open rates,retraining,4712,>=1000 DM,1-3 yrs,<20,male : married/widowed,none,1-3 yrs,car or other,34,bank,rent,2,manager/self-empl./highly qualif,0 to 2,yes,no,good
104,<0 DM,36,paid open rates,others,7432,unknown/no savings account,1-3 yrs,25-34,female: non-single or male: single,none,1-3 yrs,car or other,54,none,for free,1,skilled employee/official,0 to 2,no,no,good
105,>=200 DM,24,fully paid back,furniture/equipment,1851,unknown/no savings account,4-6 yrs,<20,female : single,guarantor,1-3 yrs,building soc. savings agr./life insurance,33,none,rent,2,skilled employee/official,0 to 2,yes,no,good
106,>=200 DM,24,none open,others,1393,unknown/no savings account,1-3 yrs,25-34,male : married/widowed,guarantor,1-3 yrs,unknown / no property,31,none,rent,1,skilled employee/official,0 to 2,yes,no,good
107,>=200 DM,12,fully paid back,retraining,1412,unknown/no savings account,1-3 yrs,<20,female: non-single or male: single,guarantor,1-3 yrs,unknown / no property,29,none,rent,2,manager/self-empl./highly qualif,0 to 2,yes,no,good
108,>=200 DM,18,none open,furniture/equipment,1473,unknown/no savings account,<1 yr,20-24,female : single,none,>= 7 yrs,unknown / no property,39,none,rent,1,skilled employee/official,0 to 2,yes,no,good
109,>=200 DM,24,none open,furniture/equipment,1533,unknown/no savings account,<1 yr,<20,female: non-single or male: single,none,4-6 yrs,building soc. savings agr./life insurance,38,stores,rent,1,skilled employee/official,0 to 2,yes,no,good
110,>=200 DM,12,fully paid back,repairs,2012,>=1000 DM,4-6 yrs,<20,female: non-single or male: single,none,1-3 yrs,building soc. savings agr./life insurance,61,none,rent,1,skilled employee/official,0 to 2,no,no,good
111,No Account,15,none open,others,3959,unknown/no savings account,1-3 yrs,20-24,female: non-single or male: single,none,1-3 yrs,car or other,29,none,rent,1,skilled employee/official,0 to 2,yes,no,bad
112,No Account,6,none open,car (used),428,unknown/no savings account,>= 7 yrs,25-34,female: non-single or male: single,none,< 1 yr,car or other,49,bank,rent,1,skilled employee/official,0 to 2,yes,no,good
113,<0 DM,12,fully paid back,others,2366,100-500 DM,4-6 yrs,20-24,male : divorced/separated,none,4-6 yrs,building soc. savings agr./life insurance,36,none,rent,1,manager/self-empl./highly qualif,0 to 2,yes,no,good
114,>=200 DM,12,none open,car (used),763,unknown/no savings account,1-3 yrs,<20,female: non-single or male: single,none,< 1 yr,unknown / no property,26,none,rent,1,skilled employee/official,0 to 2,yes,no,good
115,<0 DM,21,none open,car (used),3976,>=1000 DM,4-6 yrs,25-34,male : married/widowed,none,4-6 yrs,building soc. savings agr./life insurance,35,none,rent,1,skilled employee/official,0 to 2,yes,no,good
116,<0 DM,18,none open,others,6260,unknown/no savings account,4-6 yrs,20-24,male : married/widowed,none,4-6 yrs,unknown / no property,28,none,for free,1,unskilled - resident,0 to 2,no,no,good
117,<0 DM,9,fully paid back,car (used),1919,unknown/no savings account,4-6 yrs,<20,male : married/widowed,none,4-6 yrs,building soc. savings agr./life insurance,35,none,for free,1,skilled employee/official,0 to 2,yes,no,good
118,>=200 DM,24,none open,car (new),2603,500-1000 DM,1-3 yrs,25-34,female: non-single or male: single,none,>= 7 yrs,building soc. savings agr./life insurance,28,none,for free,1,skilled employee/official,0 to 2,yes,no,good
119,>=200 DM,9,fully paid back,repairs,936,100-500 DM,>= 7 yrs,<20,male : married/widowed,none,1-3 yrs,building soc. savings agr./life insurance,52,none,rent,2,skilled employee/official,0 to 2,yes,no,good
120,>=200 DM,24,none open,car (used),3062,100-500 DM,>= 7 yrs,<20,male : married/widowed,none,4-6 yrs,real estate,32,none,for free,1,skilled employee/official,0 to 2,yes,no,good
121,<0 DM,36,none open,furniture/equipment,4795,unknown/no savings account,<1 yr,<20,female: non-single or male: single,none,< 1 yr,real estate,30,none,rent,1,manager/self-empl./highly qualif,0 to 2,yes,no,good
122,>=200 DM,36,fully paid back,car (new),5842,unknown/no savings account,>= 7 yrs,25-34,male : married/widowed,none,1-3 yrs,car or other,35,none,rent,2,skilled employee/official,3 or more,yes,no,good
123,<0 DM,6,none open,furniture/equipment,2063,unknown/no savings account,<1 yr,<20,female : single,none,4-6 yrs,building soc. savings agr./life insurance,30,none,for free,1,manager/self-empl./highly qualif,0 to 2,yes,no,good
124,>=200 DM,15,fully paid back,furniture/equipment,1459,unknown/no savings account,1-3 yrs,<20,female: non-single or male: single,none,1-3 yrs,building soc. savings agr./life insurance,43,none,rent,1,unskilled - resident,0 to 2,no,no,good
125,>=200 DM,15,none open,furniture/equipment,1213,100-500 DM,>= 7 yrs,<20,male : married/widowed,none,4-6 yrs,car or other,47,stores,rent,1,skilled employee/official,0 to 2,yes,no,good
126,>=200 DM,24,fully paid back,furniture/equipment,5103,unknown/no savings account,<1 yr,20-24,female : single,none,4-6 yrs,real estate,47,none,own,3,skilled employee/official,0 to 2,yes,no,good
127,>=200 DM,15,none open,radio/television,874,>=1000 DM,<1 yr,<20,female: non-single or male: single,none,< 1 yr,unknown / no property,24,none,rent,1,skilled employee/official,0 to 2,no,no,good
128,>=200 DM,6,none open,car (used),2978,100-500 DM,1-3 yrs,>= 35,male : married/widowed,none,1-3 yrs,building soc. savings agr./life insurance,32,none,rent,1,skilled employee/official,0 to 2,yes,no,good
129,>=200 DM,18,none open,others,1820,unknown/no savings account,1-3 yrs,25-34,female : single,none,1-3 yrs,car or other,30,none,rent,1,manager/self-empl./highly qualif,0 to 2,yes,no,good
130,>=200 DM,24,fully paid back,furniture/equipment,2872,<100 DM,>= 7 yrs,20-24,male : married/widowed,none,>= 7 yrs,unknown / no property,36,none,rent,1,skilled employee/official,3 or more,yes,no,good
131,0-200 DM,24,none open,car (used),1925,unknown/no savings account,1-3 yrs,25-34,male : married/widowed,none,1-3 yrs,unknown / no property,26,none,rent,1,skilled employee/official,0 to 2,no,no,good
132,>=200 DM,18,none open,car (used),2515,unknown/no savings account,1-3 yrs,20-24,male : married/widowed,none,>= 7 yrs,unknown / no property,43,none,rent,1,skilled employee/official,0 to 2,yes,no,good
133,0-200 DM,6,none open,car (used),2116,unknown/no savings account,1-3 yrs,25-34,male : married/widowed,none,1-3 yrs,unknown / no property,41,none,rent,1,skilled employee/official,0 to 2,yes,no,good
134,>=200 DM,18,none open,furniture/equipment,1453,unknown/no savings account,<1 yr,20-24,female: non-single or male: single,none,< 1 yr,unknown / no property,26,none,rent,1,skilled employee/official,0 to 2,no,no,good
135,>=200 DM,10,none open,others,1364,unknown/no savings account,1-3 yrs,25-34,female: non-single or male: single,none,>= 7 yrs,building soc. savings agr./life insurance,64,none,rent,1,skilled employee/official,0 to 2,yes,no,good
136,>=200 DM,6,none open,car (used),1543,500-1000 DM,1-3 yrs,<20,male : divorced/separated,none,1-3 yrs,unknown / no property,33,none,rent,1,skilled employee/official,0 to 2,no,no,good
137,<0 DM,12,none open,others,1318,500-1000 DM,>= 7 yrs,<20,male : married/widowed,none,>= 7 yrs,unknown / no property,54,none,rent,1,skilled employee/official,0 to 2,yes,no,good
138,No Account,24,critical/open,others,2325,<100 DM,4-6 yrs,25-34,male : married/widowed,none,4-6 yrs,building soc. savings agr./life insurance,32,bank,rent,1,skilled employee/official,0 to 2,no,no,good
